uf,nome,nao_estao_estudando,alfabetizacao,regular_do_ensino_fundamental,eja_do_ensino_fundamental,regular_do_ensino_medio,eja_do_ensino_medio,superior_de_graduacao,especializacao,mestrado,doutorado,total,nao_estao_estudando%,alfabetizacao%,regular_do_ensino_fundamental%,eja_do_ensino_fundamental%,regular_do_ensino_medio%,eja_do_ensino_medio%,superior_de_graduacao%,especializacao%,mestrado%,doutorado%,latitude,longitude
AC,Acre,135003,1831,17294,6269,31123,6511,15637,804,185,79,214736,0.6286929066388496,0.00852674912450637,0.08053610014156919,0.029193987035243275,0.1449361075925788,0.03032095223902839,0.07281964831234632,0.0037441323299307054,0.0008615229863646524,0.0003678935995827435,-8.77,-70.55
AL,Alagoas,546423,4935,119472,15080,119281,14679,52181,2370,539,109,875069,0.624434187475502,0.005639555280783573,0.13652866231120062,0.017232926774917178,0.13631039380894536,0.016774677196883903,0.05963072626272899,0.002708357855209132,0.0006159514278302625,0.00012456160599906977,-9.62,-36.82
AP,Amapá,124823,991,17419,4600,34061,4743,17925,815,100,0,205477,0.6074791825849122,0.004822924220229028,0.08477347829684101,0.02238693381741022,0.16576551146843685,0.023082875455647103,0.08723604101675614,0.003966380665475941,0.0004866724742915265,0.0,1.41,-51.77
AM,Amazonas,614035,7825,126322,26087,149104,29121,70161,3953,787,330,1027725,0.5974701403585589,0.007613904497798535,0.12291420370235229,0.025383249410104843,0.14508161229900995,0.028335401007078743,0.06826826242428666,0.003846359677929407,0.0007657690530054246,0.0003210975698752098,-3.47,-65.1
BA,Bahia,2513122,27716,469137,75675,539856,89507,207625,13207,2829,556,3939230,0.6379729033339003,0.007035892801385042,0.11909357920202679,0.019210607149112897,0.1370460724557845,0.02272195327513245,0.052707001114430996,0.003352685677150103,0.0007181606557626744,0.00014114433531426193,-13.29,-41.71
CE,Ceará,1592129,11359,198224,35891,363088,50113,151107,8283,1742,549,2412485,0.6599539479001942,0.00470842305755269,0.0821658994770952,0.01487719094626495,0.1505037337019712,0.02077235713382674,0.06263541534973274,0.003433389223145429,0.000722077028458208,0.00022756618175864306,-5.2,-39.53
DF,Distrito Federal,436503,2642,38218,11360,104765,18552,111004,7208,2245,839,733336,0.5952291991665485,0.003602714171948466,0.05211526503539987,0.015490852760535417,0.14286084414238492,0.02529808982512791,0.15136854047803464,0.00982905516707212,0.003061352504172712,0.001144086748775459,-15.83,-47.86
ES,Espírito Santo,644218,2691,53361,11740,123677,18570,84792,6869,1310,288,947516,0.6799019752700746,0.002840057582141093,0.056316727105399804,0.012390292090054416,0.1305276111432419,0.019598613638186584,0.08948872631174566,0.007249481802945807,0.0013825624052786444,0.0003039526509314882,-19.19,-40.34
GO,Goiás,1068358,5045,100202,22747,233235,38393,163353,10380,2046,419,1644178,0.6497824444798556,0.003068402569551472,0.060943523146520635,0.013834876759085695,0.14185507895130575,0.023350878067946414,0.09935238155479516,0.006313185068769926,0.001244390814133263,0.00025483858803608853,-15.98,-49.86
MA,Maranhão,1231746,13690,217251,35554,302793,36571,89949,5273,626,63,1933516,0.6370498097765935,0.007080365510293165,0.11236059075797666,0.018388262626220835,0.15660227275078148,0.018914247412485853,0.04652094939995324,0.002727156123869676,0.000323762513472865,3.258312835270047e-05,-5.42,-45.44
