Ano,Municipio,editMun,ID,ValorAbsoluto
2010,Alta Floresta D Oeste,altaflorestadoeste,1,3153691.095266118
2010,Ariquemes,ariquemes,2,17759044.99252052
2010,Cabixi,cabixi,3,658879.233602182
2010,Cacoal,cacoal,4,17297456.539066687
2010,Cerejeiras,cerejeiras,5,2543591.548193349
2010,Colorado do Oeste,coloradodooeste,6,2517355.9619833212
2010,Corumbiara,corumbiara,7,952419.1858180991
2010,Costa Marques,costamarques,8,1376499.686993523
2010,Espigão D Oeste,espigaodoeste,9,4338975.3207670525
2010,Guajará-Mirim,guajara-mirim,10,4972993.928802004
2010,Jaru,jaru,11,8384220.52626539
2010,Ji-Paraná,ji-parana,12,23259598.980768852
2010,Machadinho D Oeste,machadinhodoeste,13,3586167.3401897363
2010,Nova Brasilândia D Oeste,novabrasilandiadoeste,14,2652993.778571563
2010,Ouro Preto do Oeste,ouropretodooeste,15,5792029.819212664
2010,Pimenta Bueno,pimentabueno,16,6581576.486920821
2010,Porto Velho,portovelho,17,112205806.758165
2010,Presidente Médici,presidentemedici,18,2917052.921252745
2010,Rio Crespo,riocrespo,19,298971.5971844817
2010,Rolim de Moura,rolimdemoura,20,9098980.21293396
2010,Santa Luzia D Oeste,santaluziadoeste,21,1068086.180285323
2010,Vilhena,vilhena,22,15934855.33589834
2010,São Miguel do Guaporé,saomigueldoguapore,23,2948168.593221419
2010,Nova Mamoré,novamamore,24,2393638.521377038
2010,Alvorada D Oeste,alvoradadoeste,25,2227818.796189056
2010,Alto Alegre dos Parecis,altoalegredosparecis,26,1127037.028912171
2010,Alto Paraíso,altoparaiso,27,2309891.647503175
2010,Buritis,buritis,28,4329892.953956498
2010,Novo Horizonte do Oeste,novohorizontedooeste,29,818966.8675324151
2010,Cacaulândia,cacaulandia,30,685186.373801532
2010,Campo Novo de Rondônia,camponovoderondonia,31,1434056.054685306
2010,Candeias do Jamari,candeiasdojamari,32,2532798.229804571
2010,Castanheiras,castanheiras,33,410475.47160734504
2010,Chupinguaia,chupinguaia,34,1051844.1671430198
2010,Cujubim,cujubim,35,2270848.164547871
2010,Governador Jorge Teixeira,governadorjorgeteixeira,36,941454.217669671
2010,Itapuã do Oeste,itapuadooeste,37,881078.5640143929
2010,Ministro Andreazza,ministroandreazza,38,1199686.280469678
2010,Mirante da Serra,mirantedaserra,39,1421233.5784385148
2010,Monte Negro,montenegro,40,1723968.662144376
2010,Nova União,novauniao,41,668110.290181224
2010,Parecis,parecis,42,481257.32892997575
2010,Pimenteiras do Oeste,pimenteirasdooeste,43,284630.2076359573
2010,Primavera de Rondônia,primaveraderondonia,44,369858.3392342698
2010,São Felipe D Oeste,saofelipedoeste,45,599486.5989226713
2010,São Francisco do Guaporé,saofranciscodoguapore,46,1967427.8455792197
2010,Seringueiras,seringueiras,47,1016826.122566137
2010,Teixeirópolis,teixeiropolis,48,594931.677595974
2010,Theobroma,theobroma,49,882583.2258419469
2010,Urupá,urupa,50,1357750.904190003
2010,Vale do Anari,valedoanari,51,939423.501330551
2010,Vale do Paraíso,valedoparaiso,52,978803.0379880911
2010,Acrelândia,acrelandia,53,966460.1839733361
2010,Assis Brasil,assisbrasil,54,456223.98926077806
2010,Brasiléia,brasileia,55,1834328.8977124752
2010,Bujari,bujari,56,691633.100425496
2010,Capixaba,capixaba,57,741469.4421988641
2010,Cruzeiro do Sul,cruzeirodosul,58,10312494.89513022
2010,Epitaciolândia,epitaciolandia,59,2193511.5050154943
2010,Feijó,feijo,60,2315411.494851309
2010,Jordão,jordao,61,371215.3626903475
2010,Mâncio Lima,manciolima,62,1331142.434296538
2010,Manoel Urbano,manoelurbano,63,694473.195918923
2010,Marechal Thaumaturgo,marechalthaumaturgo,64,619393.02036484
2010,Plácido de Castro,placidodecastro,65,1263543.5400351589
2010,Porto Walter,portowalter,66,543158.4187815569
2010,Rio Branco,riobranco,67,64517235.50739571
2010,Rodrigues Alves,rodriguesalves,68,718939.374078605
2010,Santa Rosa do Purus,santarosadopurus,69,409890.33821116085
2010,Senador Guiomard,senadorguiomard,70,2398630.570280663
2010,Sena Madureira,senamadureira,71,3847139.731956312
2010,Tarauacá,tarauaca,72,2637886.942195789
2010,Xapuri,xapuri,73,1473444.761971549
2010,Porto Acre,portoacre,74,1158233.432205113
2010,Alvarães,alvaraes,75,650465.84461443
2010,Amaturá,amatura,76,411208.8465582947
2010,Anamã,anama,77,571188.7311432511
2010,Anori,anori,78,1037437.8560861491
2010,Apuí,apui,79,1853024.2770014522
2010,Atalaia do Norte,atalaiadonorte,80,810389.968293711
2010,Autazes,autazes,81,1846684.4260253531
2010,Barcelos,barcelos,82,1484649.461659851
2010,Barreirinha,barreirinha,83,1010887.057539566
2010,Benjamin Constant,benjaminconstant,84,1918485.858286173
2010,Beruri,beruri,85,734735.014384185
2010,Boa Vista do Ramos,boavistadoramos,86,642555.5266634331
2010,Boca do Acre,bocadoacre,87,2034211.941799847
2010,Borba,borba,88,2422783.775318291
2010,Caapiranga,caapiranga,89,714546.287823952
2010,Canutama,canutama,90,692851.322937621
2010,Carauari,carauari,91,1632032.948933854
2010,Careiro,careiro,92,1693519.676060768
2010,Careiro da Várzea,careirodavarzea,93,1231018.7927496831
2010,Coari,coari,94,7192303.72442896
2010,Codajás,codajas,95,1415765.6477397499
2010,Eirunepé,eirunepe,96,2016423.7727097769
2010,Envira,envira,97,919249.8850572831
2010,Fonte Boa,fonteboa,98,1363115.333069768
2010,Guajará,guajara,99,852183.444445096
2010,Humaitá,humaita,100,4146563.9671924748
2010,Ipixuna,ipixuna,101,959353.100879305
2010,Iranduba,iranduba,102,3199605.8319540285
2010,Itacoatiara,itacoatiara,103,7964626.39628803
2010,Itamarati,itamarati,104,310650.3422818682
2010,Itapiranga,itapiranga,105,636898.199364394
2010,Japurá,japura,106,583270.565495269
2010,Juruá,jurua,107,749320.520655835
2010,Jutaí,jutai,108,1231133.659707967
2010,Lábrea,labrea,109,2368695.8053782796
2010,Manacapuru,manacapuru,110,8104156.441412601
2010,Manaquiri,manaquiri,111,1390234.892289842
2010,Manaus,manaus,112,360149647.4679009
2010,Manicoré,manicore,113,4401647.06030531
2010,Maraã,maraa,114,676231.003062327
