UF,Nome,Feminino,Feminino(%),Masculino,Masculino(%),Misto,Misto(%),Total,latitude,longitude
AC,Acre,1,0.07142857142857142,11,0.7857142857142857,2,0.14285714285714285,14,-8.77,-70.55
AL,Alagoas,1,0.1,7,0.7,2,0.2,10,-9.62,-36.82
AP,Amapá,1,0.14285714285714285,4,0.5714285714285714,2,0.2857142857142857,7,1.41,-51.77
AM,Amazonas,3,0.15789473684210525,9,0.47368421052631576,7,0.3684210526315789,19,-3.47,-65.1
BA,Bahia,1,0.04,16,0.64,8,0.32,25,-13.29,-41.71
CE,Ceará,2,0.014598540145985401,109,0.7956204379562044,26,0.1897810218978102,137,-5.2,-39.53
DF,Distrito Federal,0,0.0,6,0.8571428571428571,1,0.14285714285714285,7,-15.83,-47.86
ES,Espírito Santo,3,0.08823529411764706,29,0.8529411764705882,2,0.058823529411764705,34,-19.19,-40.34
GO,Goiás,4,0.03361344537815126,73,0.6134453781512605,42,0.35294117647058826,119,-15.98,-49.86
MA,Maranhão,1,0.02,44,0.88,5,0.1,50,-5.42,-45.44
MT,Mato Grosso,6,0.1111111111111111,48,0.8888888888888888,0,0.0,54,-12.64,-55.42
MS,Mato Grosso do Sul,9,0.20930232558139536,32,0.7441860465116279,2,0.046511627906976744,43,-20.51,-54.54
MG,Minas Gerais,12,0.05106382978723404,131,0.5574468085106383,92,0.39148936170212767,235,-18.1,-44.38
PA,Pará,4,0.08163265306122448,40,0.8163265306122449,5,0.10204081632653061,49,-3.79,-52.48
PB,Paraiba,3,0.038461538461538464,71,0.9102564102564102,4,0.05128205128205128,78,-7.28,-36.72
PR,Paraná,2,0.0625,27,0.84375,3,0.09375,32,-24.89,-51.55
PE,Pernambuco,6,0.07792207792207792,70,0.9090909090909091,1,0.012987012987012988,77,-8.38,-37.86
PI,Piauí,2,0.125,13,0.8125,1,0.0625,16,-6.6,-42.28
RJ,Rio de Janeiro,6,0.12,40,0.8,4,0.08,50,-22.25,-42.66
RN,Rio Grande do Norte,2,0.09523809523809523,15,0.7142857142857143,4,0.19047619047619047,21,-5.81,-36.59
RS,Rio Grande do Sul,5,0.045871559633027525,93,0.8532110091743119,11,0.10091743119266056,109,-30.17,-53.5
RO,Rondônia,4,0.0784313725490196,35,0.6862745098039216,12,0.23529411764705882,51,-10.83,-63.34
RR,Roraima,1,0.16666666666666666,5,0.8333333333333334,0,0.0,6,1.99,-61.33
SC,Santa Catarina,4,0.0784313725490196,41,0.803921568627451,6,0.11764705882352941,51,-27.45,-50.95
SP,São Paulo,19,0.1111111111111111,149,0.8713450292397661,3,0.017543859649122806,171,-22.19,-48.79
SE,Sergipe,1,0.1111111111111111,7,0.7777777777777778,1,0.1111111111111111,9,-10.57,-37.45
TO,Tocantins,5,0.125,34,0.85,1,0.025,40,-9.46,-48.26
