UF,Nome,Nao,Nao(%),SimABNT,SimABNT(%),SimNaoABNT,SimNaoABNT(%),Total,latitude,longitude
AC,Acre,13,0.9285714285714286,1,0.07142857142857142,0,0.0,14,-8.77,-70.55
AL,Alagoas,7,0.7,3,0.3,0,0.0,10,-9.62,-36.82
AP,Amapá,6,0.8571428571428571,0,0.0,1,0.14285714285714285,7,1.41,-51.77
AM,Amazonas,18,0.9473684210526315,1,0.05263157894736842,0,0.0,19,-3.47,-65.1
BA,Bahia,21,0.84,3,0.12,1,0.04,25,-13.29,-41.71
CE,Ceará,136,0.9927007299270073,1,0.0072992700729927005,0,0.0,137,-5.2,-39.53
DF,Distrito Federal,0,0.0,2,0.2857142857142857,5,0.7142857142857143,7,-15.83,-47.86
ES,Espírito Santo,29,0.8529411764705882,1,0.029411764705882353,4,0.11764705882352941,34,-19.19,-40.34
GO,Goiás,115,0.9663865546218487,1,0.008403361344537815,3,0.025210084033613446,119,-15.98,-49.86
MA,Maranhão,49,0.98,0,0.0,1,0.02,50,-5.42,-45.44
MT,Mato Grosso,51,0.9444444444444444,2,0.037037037037037035,1,0.018518518518518517,54,-12.64,-55.42
MS,Mato Grosso do Sul,42,0.9767441860465116,0,0.0,1,0.023255813953488372,43,-20.51,-54.54
MG,Minas Gerais,202,0.8595744680851064,14,0.059574468085106386,19,0.08085106382978724,235,-18.1,-44.38
PA,Pará,42,0.8571428571428571,6,0.12244897959183673,1,0.02040816326530612,49,-3.79,-52.48
PB,Paraiba,77,0.9871794871794872,1,0.01282051282051282,0,0.0,78,-7.28,-36.72
PR,Paraná,25,0.78125,4,0.125,3,0.09375,32,-24.89,-51.55
PE,Pernambuco,72,0.935064935064935,2,0.025974025974025976,3,0.03896103896103896,77,-8.38,-37.86
PI,Piauí,14,0.875,1,0.0625,1,0.0625,16,-6.6,-42.28
RJ,Rio de Janeiro,42,0.84,3,0.06,5,0.1,50,-22.25,-42.66
RN,Rio Grande do Norte,19,0.9047619047619048,2,0.09523809523809523,0,0.0,21,-5.81,-36.59
RS,Rio Grande do Sul,94,0.8623853211009175,9,0.08256880733944955,6,0.05504587155963303,109,-30.17,-53.5
RO,Rondônia,44,0.8627450980392157,3,0.058823529411764705,4,0.0784313725490196,51,-10.83,-63.34
RR,Roraima,6,1.0,0,0.0,0,0.0,6,1.99,-61.33
SC,Santa Catarina,37,0.7254901960784313,11,0.21568627450980393,3,0.058823529411764705,51,-27.45,-50.95
SP,São Paulo,58,0.3391812865497076,36,0.21052631578947367,77,0.4502923976608187,171,-22.19,-48.79
SE,Sergipe,9,1.0,0,0.0,0,0.0,9,-10.57,-37.45
TO,Tocantins,40,1.0,0,0.0,0,0.0,40,-9.46,-48.26
