UF,Nome,Não,Não(%),Sim,Sim(%),Total,latitude,longitude
AC,Acre,7,0.5,7,0.5,14,-8.77,-70.55
AL,Alagoas,3,0.3,7,0.7,10,-9.62,-36.82
AP,Amapá,5,0.7142857142857143,2,0.2857142857142857,7,1.41,-51.77
AM,Amazonas,6,0.3157894736842105,13,0.6842105263157895,19,-3.47,-65.1
BA,Bahia,2,0.08,23,0.92,25,-13.29,-41.71
CE,Ceará,97,0.708029197080292,40,0.291970802919708,137,-5.2,-39.53
DF,Distrito Federal,0,0.0,7,1.0,7,-15.83,-47.86
ES,Espírito Santo,6,0.17647058823529413,28,0.8235294117647058,34,-19.19,-40.34
GO,Goiás,77,0.6470588235294118,42,0.35294117647058826,119,-15.98,-49.86
MA,Maranhão,14,0.28,36,0.72,50,-5.42,-45.44
MT,Mato Grosso,9,0.16666666666666666,45,0.8333333333333334,54,-12.64,-55.42
MS,Mato Grosso do Sul,13,0.3023255813953488,30,0.6976744186046512,43,-20.51,-54.54
MG,Minas Gerais,97,0.4127659574468085,138,0.5872340425531914,235,-18.1,-44.38
PA,Pará,17,0.3469387755102041,32,0.6530612244897959,49,-3.79,-52.48
PB,Paraiba,47,0.6025641025641025,31,0.3974358974358974,78,-7.28,-36.72
PR,Paraná,2,0.0625,30,0.9375,32,-24.89,-51.55
PE,Pernambuco,48,0.6233766233766234,29,0.37662337662337664,77,-8.38,-37.86
PI,Piauí,4,0.25,12,0.75,16,-6.6,-42.28
RJ,Rio de Janeiro,17,0.34,33,0.66,50,-22.25,-42.66
RN,Rio Grande do Norte,11,0.5238095238095238,10,0.47619047619047616,21,-5.81,-36.59
RS,Rio Grande do Sul,45,0.41284403669724773,64,0.5871559633027523,109,-30.17,-53.5
RO,Rondônia,19,0.37254901960784315,32,0.6274509803921569,51,-10.83,-63.34
RR,Roraima,4,0.6666666666666666,2,0.3333333333333333,6,1.99,-61.33
SC,Santa Catarina,2,0.0392156862745098,49,0.9607843137254902,51,-27.45,-50.95
SP,São Paulo,20,0.11695906432748537,151,0.8830409356725146,171,-22.19,-48.79
SE,Sergipe,2,0.2222222222222222,7,0.7777777777777778,9,-10.57,-37.45
TO,Tocantins,21,0.525,19,0.475,40,-9.46,-48.26
