UF,Nome,Não,Não(%),Sim,Sim(%),Total,latitude,longitude
AC,Acre,13,0.9285714285714286,1,0.07142857142857142,14,-8.77,-70.55
AL,Alagoas,8,0.8,2,0.2,10,-9.62,-36.82
AP,Amapá,7,1.0,0,0.0,7,1.41,-51.77
AM,Amazonas,16,0.8421052631578947,3,0.15789473684210525,19,-3.47,-65.1
BA,Bahia,21,0.84,4,0.16,25,-13.29,-41.71
CE,Ceará,131,0.9562043795620438,6,0.043795620437956206,137,-5.2,-39.53
DF,Distrito Federal,3,0.42857142857142855,4,0.5714285714285714,7,-15.83,-47.86
ES,Espírito Santo,32,0.9411764705882353,2,0.058823529411764705,34,-19.19,-40.34
GO,Goiás,109,0.9159663865546218,10,0.08403361344537816,119,-15.98,-49.86
MA,Maranhão,27,0.54,23,0.46,50,-5.42,-45.44
MT,Mato Grosso,46,0.8518518518518519,8,0.14814814814814814,54,-12.64,-55.42
MS,Mato Grosso do Sul,31,0.7209302325581395,12,0.27906976744186046,43,-20.51,-54.54
MG,Minas Gerais,183,0.7787234042553192,52,0.22127659574468084,235,-18.1,-44.38
PA,Pará,45,0.9183673469387755,4,0.08163265306122448,49,-3.79,-52.48
PB,Paraiba,74,0.9487179487179487,4,0.05128205128205128,78,-7.28,-36.72
PR,Paraná,17,0.53125,15,0.46875,32,-24.89,-51.55
PE,Pernambuco,71,0.922077922077922,6,0.07792207792207792,77,-8.38,-37.86
PI,Piauí,16,1.0,0,0.0,16,-6.6,-42.28
RJ,Rio de Janeiro,40,0.8,10,0.2,50,-22.25,-42.66
RN,Rio Grande do Norte,18,0.8571428571428571,3,0.14285714285714285,21,-5.81,-36.59
RS,Rio Grande do Sul,90,0.8256880733944955,19,0.1743119266055046,109,-30.17,-53.5
RO,Rondônia,44,0.8627450980392157,7,0.13725490196078433,51,-10.83,-63.34
RR,Roraima,5,0.8333333333333334,1,0.16666666666666666,6,1.99,-61.33
SC,Santa Catarina,42,0.8235294117647058,9,0.17647058823529413,51,-27.45,-50.95
SP,São Paulo,126,0.7368421052631579,45,0.2631578947368421,171,-22.19,-48.79
SE,Sergipe,9,1.0,0,0.0,9,-10.57,-37.45
TO,Tocantins,38,0.95,2,0.05,40,-9.46,-48.26
