UF,Nome,CarteiraAssinada,CarteiraAssinada(%),CarteiraNaoAssinada,CarteiraNaoAssinada(%),NaoAplicavel,NaoAplicavel(%),Total,latitude,longitude
AC, Acre,25991,0.128,65274.0,0.32,112573,0.552,203838,-8.77,-70.55
AL, Alagoas,91034,0.114,242656.0,0.304,463737,0.582,797427,-9.62,-36.82
AP, Amapá,18288,0.093,71896.0,0.366,106315,0.541,196499,1.41,-51.77
AM, Amazonas,147683,0.161,231844.0,0.253,536841,0.586,916368,-3.47,-65.1
BA, Bahia,360470,0.109,1240138.0,0.376,1699438,0.515,3300046,-13.29,-41.71
CE, Ceará,259771,0.124,744714.0,0.355,1094720,0.521,2099205,-5.2,-39.53
DF, Distrito Federal,148293,0.231,232756.0,0.362,261175,0.407,642224,-15.83,-47.86
ES, Espírito Santo,217986,0.256,312941.0,0.367,320663,0.377,851590,-19.19,-40.34
GO, Goiás,277288,0.199,677042.0,0.485,441578,0.316,1395908,-15.98,-49.86
MA, Maranhão,134597,0.086,420045.0,0.268,1009788,0.645,1564430,-5.42,-45.44
MT, Mato Grosso,105174,0.158,275217.0,0.413,285422,0.429,665813,-12.64,-55.42
MS, Mato Grosso do Sul,114474,0.193,328437.0,0.555,149227,0.252,592138,-20.51,-54.54
MG, Minas Gerais,1078423,0.237,1945050.0,0.428,1525362,0.335,4548835,-18.1,-44.38
PA, Pará,153598,0.082,546817.0,0.291,1178264,0.627,1878679,-3.79,-52.48
PB, Paraiba,76165,0.087,307388.0,0.352,489851,0.561,873404,-7.28,-36.72
PR, Paraná,711921,0.301,953609.0,0.403,700211,0.296,2365741,-24.89,-51.55
PE, Pernambuco,345467,0.17,682894.0,0.335,1008423,0.495,2036784,-8.38,-37.86
PI, Piauí,46276,0.063,222460.0,0.301,471434,0.637,740170,-6.6,-42.28
RJ, Rio de Janeiro,816661,0.244,970.06,0.29,1559259,0.466,3345980,-22.25,-42.66
RN, Rio Grande do Norte,82264,0.1,319544.0,0.39,418208,0.51,820016,-5.81,-36.59
RS, Rio Grande do Sul,638712,0.28,857675.0,0.377,781193,0.343,2277580,-30.17,-53.5
RO, Rondônia,68565,0.169,154615.0,0.38,183483,0.451,406663,-10.83,-63.34
RR, Roraima,22188,0.171,47437.0,0.366,59935,0.463,129560,1.99,-61.33
SC, Santa Catarina,421426,0.333,419901.0,0.332,424239,0.335,1265566,-27.45,-50.95
SP, São Paulo,2914317,0.314,3693024.0,0.398,2661244,0.287,9268585,-22.19,-48.79
SE, Sergipe,75356,0.153,154614.0,0.315,261368,0.532,491338,-10.57,-37.45
TO, Tocantins,41574,0.136,145577.0,0.476,118981,0.389,306132,-9.46,-48.26
