UF,Nome,NaoAplicavel,NaoAplicavel(%),Saude,Saude(%),Educacao,Educacao(%),Seguranca,Seguranca(%),Outra,Outra(%),Total,latitude,longitude
AC, Acre,177356,0.806291910076603,20677,0.0940013183915623,13269,0.0603232332416521,8663,0.0393835382901825,0.0,0.0,219965,-8.77,-70.55
AL, Alagoas,735841,0.949998127996013,38730,0.0500018720039867,0,0.0,0,0.0,0.0,0.0,774571,-9.62,-36.82
AP, Amapá,157215,0.802137809638001,14999,0.0765274624352662,0,0.0,23781,0.121334727926733,0.0,0.0,195995,1.41,-51.77
AM, Amazonas,945088,0.867147085647804,65254,0.059872536659932,32285,0.0296224728915607,47255,0.0433579048007032,0.0,0.0,1089882,-3.47,-65.1
BA, Bahia,3263054,0.921456390955362,172683,0.0487640884764226,57131,0.0161332681198873,48324,0.0136462524483281,0.0,0.0,3541192,-13.29,-41.71
CE, Ceará,2058672,0.888760333646903,184476,0.0796411236514831,0,0.0,73193,0.0315985427016143,0.0,0.0,2316341,-5.2,-39.53
DF, Distrito Federal,645279,0.902274846924293,31814,0.0444845903555663,18268,0.0255436127684505,19808,0.0276969499516897,0.0,0.0,715169,-15.83,-47.86
ES, Espírito Santo,814640,0.952050383968567,41029,0.0479496160314327,0,0.0,0,0.0,0.0,0.0,855669,-19.19,-40.34
GO, Goiás,1411098,0.91961578240443,71379,0.046517856968294,22190,0.0144612735696275,29776,0.0194050870576489,0.0,0.0,1534443,-15.98,-49.86
MA, Maranhão,1595890,0.912472112221222,103307,0.0590672016851022,49777,0.0284606860936755,0,0.0,0.0,0.0,1748974,-5.42,-45.44
MT, Mato Grosso,745021,0.959582741392657,31380,0.0404172586073434,0,0.0,0,0.0,0.0,0.0,776401,-12.64,-55.42
MS, Mato Grosso do Sul,558989,0.889131544749328,49728,0.0790976807366417,0,0.0,19974,0.0317707745140299,0.0,0.0,628691,-20.51,-54.54
MG, Minas Gerais,4409408,0.902740687419797,277691,0.0568518413878441,112165,0.0229636062719625,85204,0.0174438649203967,0.0,0.0,4884468,-18.1,-44.38
PA, Pará,1847741,0.86363054240609,156864,0.0733179278935678,94322,0.0440859189793522,40577,0.0189656107209895,0.0,0.0,2139504,-3.79,-52.48
PB, Paraiba,864288,0.93204989118924,63010,0.0679501088107599,0,0.0,0,0.0,0.0,0.0,927298,-7.28,-36.72
PR, Paraná,2191749,0.848941587137062,210708,0.0816146301161657,81646,0.031624371597018,97640,0.0378194111497543,0.0,0.0,2581743,-24.89,-51.55
PE, Pernambuco,1934943,0.850628714466521,217880,0.0957831751674161,54905,0.0241370260352808,48278,0.0212237017199032,18715.0,0.00822738261087843,2274721,-8.38,-37.86
PI, Piauí,748907,0.96117968976608,30247,0.0388203102339204,0,0.0,0,0.0,0.0,0.0,779154,-6.6,-42.28
RJ, Rio de Janeiro,3135902,0.882753149902981,181912,0.0512080387094849,131423,0.0369954377463644,103174,0.0290433736411693,0.0,0.0,3552411,-22.25,-42.66
RN, Rio Grande do Norte,727335,0.896202934051608,48487,0.0597443979230483,0,0.0,35752,0.0440526680253433,0.0,0.0,811574,-5.81,-36.59
RS, Rio Grande do Sul,2004776,0.842184682120627,208431,0.0875596054018426,71017,0.0298334724528628,96223,0.0404222400246676,0.0,0.0,2380447,-30.17,-53.5
RO, Rondônia,363848,0.819206253785346,39241,0.0883513791605032,41058,0.092442367054151,0,0.0,0.0,0.0,444147,-10.83,-63.34
RR, Roraima,123395,0.952143953949551,6202,0.0478560460504487,0,0.0,0,0.0,,0.0,129597,1.99,-61.33
SC, Santa Catarina,1313708,0.87502422837214,108678,0.0723873821968256,44368,0.0295522863257399,34585,0.0230361031052947,0.0,0.0,1501339,-27.45,-50.95
SP, São Paulo,8576745,0.859962085142688,761993,0.0764025383923776,360134,0.0361094547606087,274527,0.0275259217043257,0.0,0.0,9973399,-22.19,-48.79
SE, Sergipe,555331,0.947261317290093,30918,0.0527386827099065,0,0.0,0,0.0,0.0,0.0,586249,-10.57,-37.45
TO, Tocantins,338340,0.933683986853253,12725,0.0351159447085997,11306,0.0312000684381476,0,0.0,0.0,0.0,362371,-9.46,-48.26
