UF,Nome,Alfabetizado,Alfabetizado(%),NaoAlfabetizado,NaoAlfabetizado(%),Total,latitude,longitude
AC, Acre,209652,0.963,8064,0.037,217716,-8.77,-70.55
AL, Alagoas,863339,0.953,42486,0.047,905825,-9.62,-36.82
AP, Amapá,213968,1.0,0,0.0,213968,1.41,-51.77
AM, Amazonas,1060556,0.988,13167,0.012,1073723,-3.47,-65.1
BA, Bahia,3619260,0.973,99775,0.027,3719035,-13.29,-41.71
CE, Ceará,2243461,0.975,57019,0.025,2300480,-5.2,-39.53
DF, Distrito Federal,706875,0.995,3355,0.005,710230,-15.83,-47.86
ES, Espírito Santo,896861,0.99,8816,0.01,905677,-19.19,-40.34
GO, Goiás,1594329,0.993,12028,0.007,1606357,-15.98,-49.86
MA, Maranhão,1737973,0.966,60565,0.034,1798538,-5.42,-45.44
MT, Mato Grosso,780952,0.992,5998,0.008,786950,-12.64,-55.42
MS, Mato Grosso do Sul,613154,0.987,8006,0.013,621160,-20.51,-54.54
MG, Minas Gerais,4919907,0.992,41579,0.008,4961486,-18.1,-44.38
PA, Pará,2106245,0.981,40743,0.019,2146988,-3.79,-52.48
PB, Paraiba,953518,0.972,27399,0.028,980917,-7.28,-36.72
PR, Paraná,2581577,0.993,19359,0.007,2600936,-24.89,-51.55
PE, Pernambuco,2199553,0.967,75293,0.033,2274846,-8.38,-37.86
PI, Piauí,792604,0.964,29710,0.036,822314,-6.6,-42.28
RJ, Rio de Janeiro,3629676,0.995,19409,0.005,3649085,-22.25,-42.66
RN, Rio Grande do Norte,886574,0.97,26992,0.03,913566,-5.81,-36.59
RS, Rio Grande do Sul,2441508,0.992,19176,0.008,2460684,-30.17,-53.5
RO, Rondônia,448341,0.991,4281,0.009,452622,-10.83,-63.34
RR, Roraima,140678,1.0,0,0.0,140678,1.99,-61.33
SC, Santa Catarina,1525271,1.0,0,0.0,1525271,-27.45,-50.95
SP, São Paulo,10161496,0.994,57190,0.006,10218686,-22.19,-48.79
SE, Sergipe,554818,0.967,19161,0.033,573979,-10.57,-37.45
TO, Tocantins,366588,0.986,5356,0.014,371944,-9.46,-48.26
