UF,Nome,Alfabetizacao,Alfabetizacao(%),EnsinoFundamental ,EnsinoFundamental(%),EJAEnsinoFundamental,EJAEnsinoFundamental(%),EnsinoMedio,EnsinoMedio(%),EJAEnsinoMedio,EJAEnsinoMedio(%),EnsinoSuperior,EnsinoSuperior(%),Especializacao,Especializacao(%),Mestrado,Mestrado(%),Doutorado,Doutorado(%),Total,latitude,longitude
RO,Rondônia,348246.0,0.6764445116439921,24987.6,0.04853673805056028,5618.55,0.010913656756710348,75167.6,0.14600802442368596,9065.92,0.01760994190027596,49069.6,0.09531440880459799,2663.01,0.00517271842017731,0.0,0.0,0.0,0.0,514818.28,-10.83,-63.34
AC,Acre,210593.0,0.11850312856407473,14583.3,0.0082061923938045,2303.75,0.0012963468986599135,44159.7,0.02484917640401614,6532.45,0.003675885533652068,29453.0,0.016573545396084834,633019.0,0.3562071481032229,836465.0,0.4706885767064849,0.0,0.0,1777109.2,-8.77,-70.55
AM,Amazonas,523145.0,0.27654491989051705,86610.6,0.045784097026005444,11288.6,0.005967379947578761,212626.0,0.11239836018052562,9689.34,0.00512197909583764,115161.0,0.06087641001923336,1861.45,0.0009839997345481711,931336.0,0.4923228541057538,0.0,0.0,1891717.9900000002,-3.47,-65.1
RR,Roraima,170248.0,0.11311366545401633,6072.49,0.004034594252695242,1310.05,0.0008704041012407434,21731.3,0.014438389867022608,3380.06,0.002245729618289216,16912.6,0.011236820276053735,522005.0,0.34682286391219747,763446.0,0.5072375325184845,0.0,0.0,1505105.5000000002,1.99,-61.33
PA,Pará,426.78,0.0005199619430450758,204091.0,0.24865165405598336,41732.8,0.05084462199894921,375116.0,0.45701777081235456,23496.1,0.028626172290129353,164341.0,0.20022275102387838,8464.19,0.010312237402649376,3122.97,0.003804830473010639,0.0,0.0,820790.8400000001,-3.79,-52.48
AP,Amapá,0.0,0.0,10097.4,0.009383924458432304,6038.18,0.005611526233130982,41149.4,0.03824181087307765,2712.1,0.0025204648249761573,25943.6,0.02411044254756515,990091.0,0.920131831062818,0.0,0.0,0.0,0.0,1076031.6799999997,1.41,-51.77
TO,Tocantins,0.0,0.0,26307.8,0.18147093700983316,2922.43,0.02015889243667835,68603.6,0.47322693551903966,3916.93,0.027018943328667763,42521.9,0.29331563401114596,697.11,0.004808657694635234,0.0,0.0,0.0,0.0,144969.77,-9.46,-48.26
MA,Maranhão,1463.5,0.0021899168953846697,141908.0,0.2123448765222055,16946.6,0.02535814530872965,364823.0,0.5459050574136805,7313.92,0.010944227522713935,129367.0,0.19357907687408854,4947.34,0.00740298151910652,1520.84,0.0022757179440907557,0.0,0.0,668290.2,-5.42,-45.44
PI,Piauí,329662.0,0.23046759967563593,54576.4,0.038154509488316446,11887.4,0.008310513630276326,148099.0,0.10353641318793796,5629.49,0.003935591750635486,82411.0,0.05761375395668543,4941.87,0.0034548747408225237,1016.81,0.0007108546330064834,792181.0,0.5538158889366834,1430404.97,-6.6,-42.28
CE,Ceará,1740.97,0.002326933105588461,100073.0,0.13375484739860768,15514.1,0.020735723701964963,388582.0,0.5193681223891137,14343.6,0.019171265267821185,217272.0,0.2903998401565886,5348.46,0.007148606028774568,3844.97,0.005139082225997268,1463.13,0.001955579725543602,748182.23,-5.2,-39.53
