UF,Nome,Estuda,Estuda(%),NaoEstuda,NaoEstuda(%),Total,latitude,longitude
RO,Rondônia,153612,0.365,267396,0.635,421008,-10.83,-63.34
AC,Acre,90988,0.396,139022,0.604,230010,-8.77,-70.55
AM,Amazonas,408046,0.383,656902,0.617,1064948,-3.47,-65.1
RR,Roraima,57903,0.385,92321,0.615,150224,1.99,-61.33
PA,Pará,847019,0.399,1276704,0.601,2123723,-3.79,-52.48
AP,Amapá,107042,0.453,129220,0.547,236262,1.41,-51.77
TO,Tocantins,143187,0.397,217178,0.603,360365,-9.46,-48.26
MA,Maranhão,654069,0.375,1089045,0.625,1743114,-5.42,-45.44
PI,Piauí,307456,0.413,437613,0.587,745069,-6.6,-42.28
CE,Ceará,762639,0.355,1387859,0.645,2150498,-5.2,-39.53
RN,Rio Grande do Norte,332227,0.423,452637,0.577,784864,-5.81,-36.59
PB,Paraiba,377547,0.416,530373,0.584,907920,-7.28,-36.72
PE,Pernambuco,756718,0.348,1420646,0.652,2177364,-8.38,-37.86
AL,Alagoas,286223,0.373,482147,0.627,768370,-9.62,-36.82
SE,Sergipe,213661,0.39,334847,0.61,548508,-10.57,-37.45
BA,Bahia,1372030,0.41,1974809,0.59,3346839,-13.29,-41.71
MG,Minas Gerais,1677022,0.372,2831915,0.628,4508937,-18.1,-44.38
ES,Espírito Santo,317127,0.376,527411,0.624,844538,-19.19,-40.34
RJ,Rio de Janeiro,1417025,0.406,2071468,0.594,3488493,-22.25,-42.66
SP,São Paulo,3324954,0.341,6427491,0.659,9752445,-22.19,-48.79
PR,Paraná,917246,0.379,1502625,0.621,2419871,-24.89,-51.55
SC,Santa Catarina,573982,0.387,908436,0.613,1482418,-27.45,-50.95
RS,Rio Grande do Sul,908452,0.386,1444411,0.614,2352863,-30.17,-53.5
MS,Mato Grosso do Sul,219536,0.372,371261,0.628,590797,-20.51,-54.54
MT,Mato Grosso,299130,0.399,450711,0.601,749841,-12.64,-55.42
GO,Goiás,623962,0.408,906910,0.592,1530872,-15.98,-49.86
DF,Distrito Federal,312948,0.435,406151,0.565,719099,-15.83,-47.86
