UF,Nome,Ocupados,Ocupados%,Desocupados,Desocupados%,NaoAplicavel,NaoAplicavel%,Total,latitude,longitude
AC,Acre,101387,0.472,16007,0.075,97342,0.453,214736,-8.77,-70.55
AL,Alagoas,374318,0.428,84422,0.096,416329,0.476,875069,-9.62,-36.82
AP,Amapá,93404,0.454,22457,0.109,89655,0.436,205516,1.41,-51.77
AM,Amazonas,469746,0.457,85755,0.083,472226,0.459,1027727,-3.47,-65.1
BA,Bahia,1957486,0.497,412995,0.105,1568748,0.398,3939229,-13.29,-41.71
CE,Ceará,1167710,0.484,176406,0.073,1068369,0.443,2412485,-5.2,-39.53
DF,Distrito Federal,427430,0.583,71275,0.097,234633,0.32,733338,-15.83,-47.86
ES,Espírito Santo,564181,0.595,79297,0.084,304039,0.321,947517,-19.19,-40.34
GO,Goiás,1005090,0.611,116721,0.071,522369,0.318,1644180,-15.98,-49.86
MA,Maranhão,857882,0.444,141377,0.073,934258,0.483,1933517,-5.42,-45.44
MT,Mato Grosso,501596,0.587,56943,0.067,295893,0.346,854432,-12.64,-55.42
MS,Mato Grosso do Sul,395194,0.596,47369,0.071,220612,0.333,663175,-20.51,-54.54
MG,Minas Gerais,3026004,0.587,401501,0.078,1728691,0.335,5156196,-18.1,-44.38
PA,Pará,1033288,0.461,174173,0.078,1036318,0.462,2243779,-3.79,-52.48
PB,Paraiba,474952,0.463,85291,0.083,466092,0.454,1026335,-7.28,-36.72
PR,Paraná,1736753,0.641,170358,0.063,801998,0.296,2709109,-24.89,-51.55
PE,Pernambuco,1128490,0.468,243816,0.101,1038728,0.431,2411034,-8.38,-37.86
PI,Piauí,401000,0.456,63719,0.072,414771,0.472,879490,-6.6,-42.28
RJ,Rio de Janeiro,2001814,0.508,352561,0.09,1582890,0.402,3937265,-22.25,-42.66
RN,Rio Grande do Norte,412094,0.461,83680,0.094,399052,0.446,894826,-5.81,-36.59
RS,Rio Grande do Sul,1710790,0.648,167577,0.063,761972,0.289,2640339,-30.17,-53.5
RO,Rondônia,261405,0.577,25982,0.057,165804,0.366,453191,-10.83,-63.34
RR,Roraima,66912,0.502,9329,0.07,57016,0.428,133257,1.99,-61.33
SC,Santa Catarina,1196345,0.713,82759,0.049,398617,0.238,1677721,-27.45,-50.95
SP,São Paulo,6484166,0.604,945793,0.088,3298607,0.307,10728566,-22.19,-48.79
SE,Sergipe,282087,0.476,58317,0.098,251801,0.425,592205,-10.57,-37.45
TO,Tocantins,209868,0.53,28651,0.072,157817,0.398,396336,-9.46,-48.26
