UF,Nome,EstudaOcupado,EstudaOcupado(%),EstudaDesocupado,EstudaDesocupado(%),EstudaNaoAtivo,EstudaNaoAtivo(%),NaoEstudaOcupado,NaoEstudaOcupado(%),NaoEstudaDesocupado,NaoEstudaDesocupado(%),NaoEstudaNaoAtivo,NaoEstudaNaoAtivo(%),Total,latitude,longitude
AC,Acre,26479,0.12024485829371188,8190,0.037191940383908016,53136,0.24129803958966256,79966,0.36313683818554193,10106,0.04589276550912996,42332,0.19223555803804568,220209,-8.77,-70.55
AL,Alagoas,86566,0.10199786969308498,31478,0.03708949174270417,182207,0.21468851330970515,297230,0.3502163298393786,63564,0.07489536988160772,187659,0.22111242553351934,848704,-9.62,-36.82
AP,Amapá,18674,0.08680413521252464,9207,0.04279777620765312,56784,0.2639544829124986,68292,0.31744821687553454,18933,0.08800806961436912,43238,0.20098731917741997,215128,1.41,-51.77
AM,Amazonas,149141,0.14233198039011719,33475,0.03194670173566741,241928,0.23088279783440013,378736,0.3614448402855782,55196,0.05267603133687523,189363,0.18071764841736182,1047839,-3.47,-65.1
BA,Bahia,469335,0.12763657427551997,108821,0.029594084500913758,758799,0.2063568771212253,1462098,0.3976204203289531,254152,0.06911713514924724,623915,0.16967490862414064,3677120,-13.29,-41.71
CE,Ceará,239400,0.1020639165685037,44492,0.0189683699915032,530730,0.22626726165581437,952062,0.40589463883058796,119982,0.05115218395038517,458923,0.1956536290032056,2345589,-5.2,-39.53
DF,Distrito Federal,102632,0.14565767494404713,39795,0.05647797153322897,160060,0.22716080220149842,285439,0.4051015382955986,51169,0.07262021171965809,65516,0.09298180130596882,704611,-15.83,-47.86
ES,Espírito Santo,104545,0.11029966439023155,18854,0.019891815700544508,190264,0.20073705433586508,437643,0.461732995578307,50842,0.05364059052970637,145679,0.15369787946534547,947827,-19.19,-40.34
GO,Goiás,253107,0.1568609101771469,39108,0.02423685032499244,309781,0.19198413957570018,731227,0.45317171301506715,72506,0.044934976722509505,207847,0.1288114101845838,1613576,-15.98,-49.86
MA,Maranhão,239201,0.1330040496005169,37423,0.020808485533923952,403566,0.22439668847990685,693415,0.3855627821528439,93928,0.0522272246808222,330916,0.1840007695519862,1798449,-5.42,-45.44
MT,Mato Grosso,119652,0.14293103468871657,16068,0.01919412851751996,174133,0.20801164931175647,370570,0.4426666794085991,26791,0.03200335431372151,129917,0.15519315375968637,837131,-12.64,-55.42
MS,Mato Grosso do Sul,92299,0.14470534192690654,12715,0.019934435070809182,101728,0.15948802287717473,321592,0.5041883478798007,15998,0.025081485824837223,93509,0.14660236642047156,637841,-20.51,-54.54
MG,Minas Gerais,691997,0.13909708314966207,141546,0.02845190908559151,941242,0.18919737619954166,2320511,0.4664417786734704,237787,0.047797140899322826,641838,0.12901471199241155,4974921,-18.1,-44.38
PA,Pará,258593,0.1206462822117031,57612,0.026878815786895386,478854,0.22340881161594814,856328,0.3995188947642948,110476,0.05154245735043142,381535,0.17800473827072713,2143398,-3.79,-52.48
PB,Paraiba,104523,0.10571162147182925,25334,0.02562209483431706,226112,0.22868331519606455,379422,0.38373673585798723,63339,0.06405928257325366,190026,0.19218695006654826,988756,-7.28,-36.72
PR,Paraná,413915,0.1557558135378092,62564,0.02354277259384051,444352,0.16720922715328654,1315243,0.49492466681543024,99068,0.037279192432174924,322319,0.1212883274674586,2657461,-24.89,-51.55
PE,Pernambuco,242352,0.10594831373731942,53477,0.02337838339989202,493489,0.2157371401841785,909048,0.3974058506068972,137728,0.06021014621052655,451361,0.19732016586118634,2287455,-8.38,-37.86
PI,Piauí,116257,0.146662848405792,23934,0.030193696841860924,183497,0.23148879374074344,292338,0.368796061976934,37039,0.04672617771060778,139617,0.17613242132406184,792682,-6.6,-42.28
RJ,Rio de Janeiro,347743,0.09441499940403998,75492,0.02049668040768552,955719,0.2594853349037355,1493455,0.4054849499054202,235753,0.0640088207512463,574971,0.15610921462787253,3683133,-22.25,-42.66
RN,Rio Grande do Norte,90766,0.10559183241371208,38710,0.04503294000765479,171519,0.19953512883422736,331018,0.3850868957750936,80752,0.09394213307925961,146828,0.17081106989005262,859593,-5.81,-36.59
RS,Rio Grande do Sul,399392,0.16366438540005762,62257,0.025511912211189477,453656,0.1859008954186577,1176513,0.4821160089841008,95409,0.039097065906763526,253084,0.10370973207923088,2440311,-30.17,-53.5
RO,Rondônia,65971,0.14436709871828818,11444,0.025043383876735083,84229,0.1843218438092904,199401,0.4363575487945519,15084,0.03300894812973366,80838,0.1769011766714008,456967,-10.83,-63.34
RR,Roraima,14387,0.10861884125809715,3020,0.022800368429794493,31614,0.23867908858924608,49351,0.37258972926449935,6035,0.045562987905235025,28047,0.21174898455312788,132454,1.99,-61.33
SC,Santa Catarina,273386,0.1781392293878317,30310,0.01975009708889694,253197,0.16498400965415502,795975,0.5186599647091633,45793,0.029838871527280025,136015,0.08862782763267296,1534676,-27.45,-50.95
SP,São Paulo,1311751,0.12855122802956573,253112,0.02480490461148453,1760417,0.1725203694863766,4986958,0.4887204774624659,571442,0.0560011548286764,1320431,0.12940186558143085,10204111,-22.19,-48.79
SE,Sergipe,69783,0.12107957108651143,20252,0.035138980462921195,133775,0.23211125377381406,224897,0.39021584481382515,32540,0.056459728632404484,95093,0.16499462123052364,576340,-10.57,-37.45
TO,Tocantins,55567,0.1449926938732909,13092,0.03416136102703267,89314,0.23304978603486065,148344,0.3870785930487423,16764,0.04374282433983927,60159,0.1569747416762342,383240,-9.46,-48.26
