UF,Nome,Estuda_Ocupado,Estuda_Ocupado(%),Estuda_Desocupado,Estuda_Desocupado(%),NaoEstuda_Ocupado,NaoEstuda_Ocupado(%),NaoEstuda_Desocupado,NaoEstuda_Desocupado(%),Total,latitude,longitude
RO,Rondônia,53405,0.209,9499,0.037,165230,0.647,27152,0.106,255286,-10.83,-63.34
AC,Acre,18400,0.171,7464,0.069,62156,0.577,19745,0.183,107764,-8.77,-70.55
AM,Amazonas,99284,0.166,48635,0.081,340971,0.571,107976,0.181,596866,-3.47,-65.1
AM,Amapá,19179,0.154,13834,0.111,63105,0.507,28340,0.228,124459,-3.47,-65.1
RR,Roraima,14662,0.176,5595,0.067,48651,0.585,14200,0.171,83107,1.99,-61.33
PA,Pará,202731,0.188,67744,0.063,645086,0.6,160474,0.149,1076035,-3.79,-52.48
TO,Tocantins,38794,0.189,15990,0.078,125727,0.612,24988,0.122,205498,-9.46,-48.26
MA,Maranhão,131998,0.163,52646,0.065,464751,0.574,159751,0.197,809146,-5.42,-45.44
PI,Piauí,79617,0.195,31910,0.078,228760,0.561,67347,0.165,407634,-6.6,-42.28
CE,Ceará,186528,0.157,60273,0.051,749663,0.632,189079,0.159,1185543,-5.2,-39.53
RN,Rio Grande do Norte,81261,0.197,40907,0.099,221814,0.538,68161,0.165,412143,-5.81,-36.59
PB,Paraiba,92278,0.205,37772,0.084,250565,0.557,69027,0.154,449642,-7.28,-36.72
PE,Pernambuco,164868,0.135,71243,0.058,727151,0.593,262122,0.214,1225384,-8.38,-37.86
AL,Alagoas,47650,0.139,24135,0.07,199429,0.581,71803,0.209,343017,-9.62,-36.82
SE,Sergipe,42136,0.139,20891,0.069,181403,0.598,58893,0.194,303323,-10.57,-37.45
BA,Bahia,341118,0.173,203797,0.104,1012126,0.514,410405,0.209,1967446,-13.29,-41.71
MG,Minas Gerais,578763,0.188,203209,0.066,1880869,0.612,410170,0.133,3073011,-18.1,-44.38
ES,Espírito Santo,100503,0.178,40811,0.072,340238,0.602,83695,0.148,565247,-19.19,-40.34
RJ,Rio de Janeiro,336710,0.159,144010,0.068,1178659,0.557,457193,0.216,2116572,-22.25,-42.66
SP,São Paulo,1120547,0.157,549715,0.077,4136540,0.581,1308197,0.184,7114999,-22.19,-48.79
PR,Paraná,327441,0.197,107804,0.065,1029017,0.62,194825,0.117,1659087,-24.89,-51.55
SC,Santa Catarina,260357,0.24,43915,0.041,704249,0.65,75714,0.07,1084234,-27.45,-50.95
RS,Rio Grande do Sul,329050,0.203,92874,0.057,1043740,0.643,156935,0.097,1622599,-30.17,-53.5
MS,Mato Grosso do Sul,83267,0.21,23211,0.058,248118,0.625,42280,0.107,396876,-20.51,-54.54
MT,Mato Grosso,127267,0.245,29692,0.057,313641,0.603,49465,0.095,520065,-12.64,-55.42
GO,Goiás,209558,0.199,85350,0.081,633127,0.603,122760,0.117,1050795,-15.98,-49.86
DF,Distrito Federal,101369,0.209,51235,0.106,251086,0.518,81494,0.168,485184,-15.83,-47.86
