UF,Nome,Ocupado,Ocupado(%),Desocupado,Desocupado(%),Total,latitude,longitude
AC,Acre,82150,0.793,21391,0.207,103541,-8.77,-70.55
AL,Alagoas,298026,0.747,101107,0.253,399133,-9.62,-36.82
AP,Amapá,73063,0.699,31484,0.301,104547,1.41,-51.77
AM,Amazonas,434521,0.751,143750,0.249,578271,-3.47,-65.1
BA,Bahia,1588101,0.733,577629,0.267,2165730,-13.29,-41.71
CE,Ceará,909579,0.772,268045,0.228,1177624,-5.2,-39.53
DF,Distrito Federal,303411,0.757,97562,0.243,400973,-15.83,-47.86
ES,Espírito Santo,421351,0.772,124625,0.228,545976,-19.19,-40.34
GO,Goiás,821408,0.8,205292,0.2,1026700,-15.98,-49.86
MA,Maranhão,717990,0.784,197272,0.216,915262,-5.42,-45.44
MT,Mato Grosso,422774,0.827,88488,0.173,511262,-12.64,-55.42
MS,Mato Grosso do Sul,337551,0.846,61336,0.154,398887,-20.51,-54.54
MG,Minas Gerais,2574656,0.801,638081,0.199,3212737,-18.1,-44.38
PA,Pará,971623,0.797,246935,0.203,1218558,-3.79,-52.48
PB,Paraiba,391773,0.79,104333,0.21,496106,-7.28,-36.72
PR,Paraná,1417464,0.835,279952,0.165,1697416,-24.89,-51.55
PE,Pernambuco,914866,0.745,313689,0.255,1228555,-8.38,-37.86
PI,Piauí,338592,0.809,79875,0.191,418467,-6.6,-42.28
RJ,Rio de Janeiro,1607972,0.776,464839,0.224,2072811,-22.25,-42.66
RN,Rio Grande do Norte,328861,0.741,114770,0.259,443631,-5.81,-36.59
RS,Rio Grande do Sul,1419971,0.834,282339,0.166,1702310,-30.17,-53.5
RO,Rondônia,232619,0.852,40495,0.148,273114,-10.83,-63.34
RR,Roraima,56021,0.803,13735,0.197,69756,1.99,-61.33
SC,Santa Catarina,951127,0.883,126628,0.117,1077755,-27.45,-50.95
SP,São Paulo,5323982,0.762,1662332,0.238,6986314,-22.19,-48.79
SE,Sergipe,234939,0.765,72135,0.235,307074,-10.57,-37.45
TO,Tocantins,174922,0.8,43674,0.2,218596,-9.46,-48.26
