UF,Nome,Ocupado,Ocupado(%),Desocupado,Desocupado(%),NaoEconomicamenteAtivo,NaoEconomicamenteAtivo(%),Total,latitude,longitude
AC,Acre,104995,0.482,21839,0.1,90882,0.417,217716,-8.77,-70.55
AL,Alagoas,384107,0.424,108295,0.12,413423,0.456,905825,-9.62,-36.82
AP,Amapá,96274,0.446,23488,0.109,96013,0.445,215775,1.41,-51.77
AM,Amazonas,550827,0.513,112224,0.105,410672,0.382,1073723,-3.47,-65.1
BA,Bahia,1971581,0.53,416427,0.112,1331027,0.358,3719035,-13.29,-41.71
CE,Ceará,1208492,0.525,184098,0.08,907890,0.395,2300480,-5.2,-39.53
DF,Distrito Federal,401918,0.566,87216,0.123,221096,0.311,710230,-15.83,-47.86
ES,Espírito Santo,566555,0.626,88158,0.097,250964,0.277,905677,-19.19,-40.34
GO,Goiás,995011,0.619,111393,0.069,499953,0.311,1606357,-15.98,-49.86
MA,Maranhão,985114,0.548,137993,0.077,675431,0.376,1798538,-5.42,-45.44
MT,Mato Grosso,495209,0.629,48419,0.062,243322,0.309,786950,-12.64,-55.42
MS,Mato Grosso do Sul,406242,0.654,34137,0.055,180781,0.291,621160,-20.51,-54.54
MG,Minas Gerais,2998724,0.604,442639,0.089,1520123,0.306,4961486,-18.1,-44.38
PA,Pará,1102366,0.513,169515,0.079,875107,0.408,2146988,-3.79,-52.48
PB,Paraiba,518167,0.528,87813,0.09,374937,0.382,980917,-7.28,-36.72
PR,Paraná,1694507,0.651,163947,0.063,742482,0.285,2600936,-24.89,-51.55
PE,Pernambuco,1137732,0.5,208295,0.092,928819,0.408,2274846,-8.38,-37.86
PI,Piauí,470288,0.572,51012,0.062,301014,0.366,822314,-6.6,-42.28
RJ,Rio de Janeiro,1871794,0.513,333420,0.091,1443871,0.396,3649085,-22.25,-42.66
RN,Rio Grande do Norte,467575,0.512,116050,0.127,329941,0.361,913566,-5.81,-36.59
RS,Rio Grande do Sul,1585367,0.644,173693,0.071,701624,0.285,2460684,-30.17,-53.5
RO,Rondônia,268241,0.593,24436,0.054,159945,0.353,452622,-10.83,-63.34
RR,Roraima,77370,0.546,13498,0.095,50951,0.359,141819,1.99,-61.33
SC,Santa Catarina,1069005,0.698,73724,0.048,388106,0.254,1530835,-27.45,-50.95
SP,São Paulo,6219807,0.609,1091516,0.107,2907363,0.285,10218686,-22.19,-48.79
SE,Sergipe,308304,0.537,57830,0.101,207845,0.362,573979,-10.57,-37.45
TO,Tocantins,214031,0.575,29598,0.08,128315,0.345,371944,-9.46,-48.26
