UF,Nome,Ocupado,Ocupado(%),Desocupado,Desocupado(%),Total,latitude,longitude
AC,Acre,87161,0.746,29715,0.254,116876,-8.77,-70.55
AL,Alagoas,244024,0.713,98446,0.287,342470,-9.62,-36.82
AP,Amapá,81087,0.617,50240,0.383,131327,1.41,-51.77
AM,Amazonas,415595,0.74,145696,0.26,561291,-3.47,-65.1
BA,Bahia,1407864,0.707,582214,0.293,1990078,-13.29,-41.71
CE,Ceará,950216,0.765,291537,0.235,1241753,-5.2,-39.53
DF,Distrito Federal,331656,0.724,126328,0.276,457984,-15.83,-47.86
ES,Espírito Santo,424362,0.752,139796,0.248,564158,-19.19,-40.34
GO,Goiás,847286,0.812,196748,0.188,1044034,-15.98,-49.86
MA,Maranhão,605862,0.744,208456,0.256,814318,-5.42,-45.44
MT,Mato Grosso,421437,0.843,78537,0.157,499974,-12.64,-55.42
MS,Mato Grosso do Sul,335962,0.835,66193,0.165,402155,-20.51,-54.54
MG,Minas Gerais,2656497,0.804,648711,0.196,3305208,-18.1,-44.38
PA,Pará,894812,0.785,245461,0.215,1140273,-3.79,-52.48
PB,Paraiba,368550,0.763,114495,0.237,483045,-7.28,-36.72
PR,Paraná,1451243,0.831,294533,0.169,1745776,-24.89,-51.55
PE,Pernambuco,835740,0.67,411848,0.33,1247588,-8.38,-37.86
PI,Piauí,302309,0.768,91471,0.232,393780,-6.6,-42.28
RJ,Rio de Janeiro,1554645,0.713,625842,0.287,2180487,-22.25,-42.66
RN,Rio Grande do Norte,334127,0.75,111528,0.25,445655,-5.81,-36.59
RS,Rio Grande do Sul,1277498,0.83,262399,0.17,1539897,-30.17,-53.5
RO,Rondônia,224340,0.807,53629,0.193,277969,-10.83,-63.34
RR,Roraima,58170,0.788,15679,0.212,73849,1.99,-61.33
SC,Santa Catarina,998240,0.879,137124,0.121,1135364,-27.45,-50.95
SP,São Paulo,5236193,0.742,1818658,0.258,7054851,-22.19,-48.79
SE,Sergipe,235894,0.727,88672,0.273,324566,-10.57,-37.45
TO,Tocantins,166304,0.787,44911,0.213,211215,-9.46,-48.26
