UF,Nome,Ocupado,Ocupado(%),Desocupado,Desocupado(%),Total,latitude,longitude
RO,Rondônia,218636.0,0.856,36651,0.144,255286.6,-10.83,-63.34
AC,Acre,80555.5,0.748,27209,0.252,107764.1,-8.77,-70.55
AM,Amazonas,440255.0,0.738,156611,0.262,596866.0,-3.47,-65.1
AM,Amapá,82283.7,0.661,42175,0.339,124458.4,-3.47,-65.1
RR,Roraima,63312.4,0.762,19795,0.238,83107.5,1.99,-61.33
PA,Pará,847817.0,0.788,228217,0.212,1076034.0,-3.79,-52.48
TO,Tocantins,164521.0,0.801,40977,0.199,205498.1,-9.46,-48.26
MA,Maranhão,596749.0,0.738,212398,0.262,809147.0,-5.42,-45.44
PI,Piauí,308377.0,0.757,99258,0.243,407634.5,-6.6,-42.28
CE,Ceará,936191.0,0.79,249352,0.21,1185543.0,-5.2,-39.53
RN,Rio Grande do Norte,303075.0,0.735,109068,0.265,412143.0,-5.81,-36.59
PB,Paraiba,342844.0,0.762,106798,0.238,449642.0,-7.28,-36.72
PE,Pernambuco,892019.0,0.728,333365,0.272,1225384.0,-8.38,-37.86
AL,Alagoas,247080.0,0.72,95938,0.28,343017.7,-9.62,-36.82
SE,Sergipe,223538.0,0.737,79784,0.263,303321.9,-10.57,-37.45
BA,Bahia,1353244.0,0.688,614202,0.312,1967446.0,-13.29,-41.71
MG,Minas Gerais,2459632.0,0.8,613379,0.2,3073011.0,-18.1,-44.38
ES,Espírito Santo,440741.0,0.78,124506,0.22,565247.0,-19.19,-40.34
RJ,Rio de Janeiro,1515369.0,0.716,601202,0.284,2116571.0,-22.25,-42.66
SP,São Paulo,5257087.0,0.739,1857912,0.261,7114999.0,-22.19,-48.79
PR,Paraná,1356458.0,0.818,302629,0.182,1659087.0,-24.89,-51.55
SC,Santa Catarina,964606.0,0.89,119628,0.11,1084234.0,-27.45,-50.95
RS,Rio Grande do Sul,1372790.0,0.846,249809,0.154,1622599.0,-30.17,-53.5
MS,Mato Grosso do Sul,331386.0,0.835,65491,0.165,396876.9,-20.51,-54.54
MT,Mato Grosso,440908.0,0.848,79157,0.152,520064.8,-12.64,-55.42
GO,Goiás,842684.0,0.802,208110,0.198,1050794.0,-15.98,-49.86
DF,Distrito Federal,352455.0,0.726,132729,0.274,485184.0,-15.83,-47.86
