UF,Nome,Branca,Branca(%),Preta,Preta(%),Amarela,Amarela(%),Parda,Parda(%),Indigena,Indigena(%),Total,latitude,longitude
AC, Acre,46164,0.210468726491869,15679,0.0714829556075299,0,0.0,150353,0.685482289971232,7143.0,0.0325660279293696,219339,-8.77,-70.55
AL, Alagoas,223969,0.265410453642137,67206,0.079641267083719,0,0.0,552684,0.654948279274144,0.0,0.0,843859,-9.62,-36.82
AP, Amapá,50908,0.236922446852079,20466,0.0952474031051044,0,0.0,143498,0.667830150042816,,0.0,214872,1.41,-51.77
AM, Amazonas,225466,0.21517236903761,39923,0.038100318846693,3814,0.00363987215593235,746045,0.711984379279641,32591.0,0.0311030606801236,1047839,-3.47,-65.1
BA, Bahia,677076,0.184132146897572,680213,0.184985260203638,9048,0.0024606213558437,2296137,0.624438963101558,14646.0,0.00398300844138891,3677120,-13.29,-41.71
CE, Ceará,699201,0.298417561199627,83981,0.0358429195712046,0,0.0,1553776,0.663148428807326,6071.0,0.00259109042184284,2343029,-5.2,-39.53
DF, Distrito Federal,299507,0.427974747936624,57145,0.0816562449987425,0,0.0,343172,0.490369007064633,0.0,0.0,699824,-15.83,-47.86
ES, Espírito Santo,346804,0.366999622210629,95408,0.100963944925294,0,0.0,502759,0.532036432864077,0.0,0.0,944971,-19.19,-40.34
GO, Goiás,616543,0.382305541586547,97555,0.0604918344859574,10549,0.00654121635992378,888050,0.550661407567572,0.0,0.0,1612697,-15.98,-49.86
MA, Maranhão,333876,0.187173935711587,206932,0.11600796961947,0,0.0,1242966,0.696818094668943,0.0,0.0,1783774,-5.42,-45.44
MT, Mato Grosso,263860,0.316885000984786,63401,0.0761419917662262,0,0.0,505407,0.606973007248988,0.0,0.0,832668,-12.64,-55.42
MS, Mato Grosso do Sul,277291,0.434733734582756,39374,0.061730117693908,5743,0.00900381129466434,310922,0.487460040982,4511.0,0.00707229544667088,637841,-20.51,-54.54
MG, Minas Gerais,1951542,0.392275977849699,457567,0.0919747268348583,12846,0.00258215155577345,2536777,0.509913021734415,16189.0,0.00325412202525427,4974921,-18.1,-44.38
PA, Pará,419235,0.195593632167241,195961,0.091425390898004,5909,0.00275683750754643,1508820,0.703938325966526,13473.0,0.00628581346068252,2143398,-3.79,-52.48
PB, Paraiba,342681,0.347916093458266,50037,0.0508014087981863,0,0.0,581469,0.590352026949509,10766.0,0.0109304707940379,984953,-7.28,-36.72
PR, Paraná,1772071,0.667387381008694,79025,0.0297619495969473,22939,0.00863915674538911,781201,0.29421151264897,0.0,0.0,2655236,-24.89,-51.55
PE, Pernambuco,752287,0.329504884404115,133881,0.0586404436457194,0,0.0,1377574,0.603383232234658,19341.0,0.0084714397155075,2283083,-8.38,-37.86
PI, Piauí,192040,0.243140313383099,47868,0.0606052932775578,0,0.0,549924,0.696254393339343,0.0,0.0,789832,-6.6,-42.28
RJ, Rio de Janeiro,1634856,0.444418831099989,545212,0.148210288699241,8348,0.00226931815525203,1490222,0.405101562045518,0.0,0.0,3678638,-22.25,-42.66
RN, Rio Grande do Norte,333032,0.38924251101579,41372,0.048354936359705,0,0.0,481186,0.562402552624505,0.0,0.0,855590,-5.81,-36.59
RS, Rio Grande do Sul,1922967,0.788776215056163,145618,0.0597306219420553,0,0.0,365739,0.150021411765478,3588.0,0.00147175123630385,2437912,-30.17,-53.5
RO, Rondônia,153119,0.336512701723232,27509,0.0604570818233165,0,0.0,274389,0.603030216453451,0.0,0.0,455017,-10.83,-63.34
RR, Roraima,26460,0.200305833547821,15261,0.115527865675483,0,0.0,85226,0.645172523429575,5151.0,0.0389937773471211,132098,1.99,-61.33
SC, Santa Catarina,1278780,0.835824680612983,42430,0.0277327149301747,0,0.0,208752,0.136442604456843,0.0,0.0,1529962,-27.45,-50.95
SP, São Paulo,6077336,0.595577213928778,682924,0.0669263593859377,64574,0.00632823378734316,3363527,0.329624697340121,15750.0,0.00154349555781978,10204111,-22.19,-48.79
SE, Sergipe,141730,0.247936631224656,52423,0.0917066395166172,0,0.0,377485,0.660356729258727,0.0,0.0,571638,-10.57,-37.45
TO, Tocantins,92761,0.24335605261639,29629,0.0777309050459895,0,0.0,258784,0.67891304233762,0.0,0.0,381174,-9.46,-48.26
