UF,Nome,Branca,Branca(%),Preta,Preta(%),Amarela,Amarela(%),Parda,Parda(%),Indigena,Indigena(%),Ignorado,Ignorado(%),Total,latitude,longitude
RO,Rondônia,110660,0.264198332585257,30180,0.07205409070507,1633,0.00389875182642079,275071,0.656726003457068,1308.0,0.00312282142618395,0.0,"0,0%",418852,-10.83,-63.34
AC,Acre,37358,0.159686423362656,10531,0.0450146615030819,467,0.00199618715430056,184943,0.790537132500663,648.0,0.00276986996999307,0.0,"0,0%",233946,-8.77,-70.55
AM,Amazonas,164546,0.159321836965888,23663,0.0229117245519418,367,0.000355348134664356,828186,0.801891962548049,16028.0,0.0155191277994558,0.0,"0,0%",1032790,-3.47,-65.1
RR,Roraima,29343,0.220595863686596,11676,0.0877782539073953,510,0.00383409639369404,84501,0.635264665418706,6987.0,0.0525271205936083,0.0,"0,0%",133017,1.99,-61.33
PA,Pará,363465,0.164358269509306,183544,0.0829982920468713,7821,0.00353664321415345,1646878,0.744715497153638,9711.0,0.00439129807603172,0.0,"0,0%",2211419,-3.79,-52.48
AP,Amapá,35163,0.146255334370399,18218,0.0757750954571545,168,0.000698771327083212,185488,0.771510094750065,1385.0,0.0057607040952991,0.0,"0,0%",240422,1.41,-51.77
TO,Tocantins,62859,0.167349101209746,46402,0.123535738626683,633,0.00168523172601806,264506,0.704192579655819,1216.0,0.00323734878173454,0.0,"0,0%",375616,-9.46,-48.26
MA,Maranhão,307797,0.174033181971615,174183,0.0984857608597934,6391,0.00361357019717733,1279012,0.72317315678801,1228.0,0.000694330183403812,0.0,"0,0%",1768611,-5.42,-45.44
PI,Piauí,153512,0.202734790796692,49369,0.0651989022802249,340,0.00044901915727028,553283,0.730690195270508,702.0,0.000927092495305108,0.0,"0,0%",757206,-6.6,-42.28
CE,Ceará,536693,0.238576983310951,95144,0.0422945119465637,2899,0.00128869702906214,1604819,0.713392713860806,10003.0,0.0044466493210447,0.0,"0,0%",2249559,-5.2,-39.53
RN,Rio Grande do Norte,297394,0.359109477469471,50871,0.0614277968901506,1288,0.00155528694923461,477594,0.576704747851518,996.0,0.00120269083962552,0.0,"0,0%",828143,-5.81,-36.59
PB,Paraíba,304894,0.326500496881639,51002,0.0546162874374615,924,0.000989479816325132,575913,0.616725421492701,1091.0,0.00116831437187307,0.0,"0,0%",933824,-7.28,-36.72
PE,Pernambuco,606939,0.276297065129809,126568,0.0576175973851568,4842,0.00220422544828811,1455298,0.66249584602288,3043.0,0.00138526601386632,0.0,"0,0%",2196690,-8.38,-37.86
AL,Alagoas,169519,0.213508335967777,29769,0.0374939071928501,4428,0.0055770439400027,586780,0.739046486701622,3473.0,0.00437422619774828,0.0,"0,0%",793969,-9.62,-36.82
SE,Sergipe,107242,0.196136239353443,36467,0.0666949538473919,2776,0.00507706123016316,399249,0.730191505432785,1038.0,0.00189841122367052,0.0,"0,0%",546773,-10.57,-37.45
BA,Bahia,550827,0.159306846735122,735817,0.212808533430818,6482,0.00187468475680578,2149938,0.621792038981412,14585.0,0.00421818530978284,0.0,"0,0%",3457648,-13.29,-41.71
MG,Minas Gerais,1760451,0.364285155582337,570060,0.117960906490023,4753,0.000983524872025887,2490849,0.515424351769579,5611.0,0.00116106838984584,893.522,"0,0%",4832618,-18.1,-44.38
ES,Espírito Santo,296214,0.344752376607294,96567,0.11239071330807,1660,0.00193201180622154,463991,0.540021740952133,776.0,0.000903157326281878,0.0,"0,0%",859208,-19.19,-40.34
RJ,Rio de Janeiro,1461613,0.39943828807126,501402,0.1370261187575,7930,0.00216715753376926,1684937,0.460469598168547,3289.0,0.000898837468923972,0.0,"0,0%",3659171,-22.25,-42.66
SP,São Paulo,5626071,0.574224640662491,688537,0.0702754926853624,117662,0.012009165840536,3350785,0.341997694761098,13283.4,0.00135576952224317,1344.85,"0,0%",9797683,-22.19,-48.79
PR,Paraná,1679836,0.658856106290141,99408,0.0389892631269304,27268,0.0106949061136442,740077,0.290268961121734,3035.0,0.00119037113300976,0.0,"0,0%",2549625,-24.89,-51.55
SC,Santa Catarina,1262014,0.802502100026771,47691,0.0303262306538412,3089,0.00196426425299774,257891,0.163990311579748,1914.0,0.00121709348664218,0.0,"0,0%",1572599,-27.45,-50.95
RS,Rio Grande do Sul,1847589,0.771830363409108,150154,0.0627268382672397,1809,0.000755709807433945,389486,0.162707788865792,4738.0,0.00197929965042677,0.0,"0,0%",2393776,-30.17,-53.5
MS,Mato Grosso do Sul,247786,0.424755126319507,30926,0.0530133947703141,5295,0.00907669680232857,298099,0.5110017450571,1256.0,0.00215303705075065,0.0,"0,0%",583362,-20.51,-54.54
MT,Mato Grosso,224991,0.288216470757028,71740,0.0918998964941227,2166,0.00277467487881614,480827,0.615945797763863,907.0,0.0011618790928376,0.0,"0,0%",780632,-12.64,-55.42
GO,Goiás,521787,0.329302880367556,116599,0.0735863226718502,2819,0.00177908767323858,939798,0.59311210966097,3517.0,0.00221959962638528,0.0,"0,0%",1584520,-15.98,-49.86
DF,Distrito Federal,229651,0.323679600169697,59699,0.0841422351765537,2297,0.00323748662792582,414474,0.584176766487997,3380.0,0.00476391153782729,0.0,"0,0%",709501,-15.83,-47.86
