UF,Nome,BrancaEstuda,BrancaEstuda(%),BrancaNaoEstuda,BrancaNaoEstuda(%),PretaEstuda,PretaEstuda(%),PretaNaoEstuda,PretaNaoEstuda(%),AmarelaEstuda,AmarelaEstuda(%),AmarelaNaoEstuda,AmarelaNaoEstuda(%),PardaEstuda,PardaEstuda(%),PardaNaoEstuda,PardaNaoEstuda(%),IndigenaEstuda,IndigenaEstuda(%),IndigenaNaoEstuda,IndigenaNaoEstuda(%),IgnoradoEstuda,IgnoradoEstuda(%),IgnoradoNaoEstuda,IgnoradoNaoestuda(%),Total,latitude,longitude
AC, Acre,18665,0.0869202792252849,29221,0.136078086217093,4208,0.0195960640225019,8136,0.0378882074351416,1794,0.00835440562176057,2960,0.0137843035899729,53237,0.247917219668711,92578,0.431122722213685,1829,0.00851739569799336,2042,0.00950930673335289,0,0%,67.0,"0,0%",214737,-8.77,-70.55
AL, Alagoas,103396,0.118157404550493,155781,0.178021186876478,19746,0.022565051938702,38104,0.0435439450558241,4098,0.0046830539271144,8065,0.00921640554469928,199867,0.22840115647891,342096,0.390935582296273,1540,0.0017598592112631,2377,0.00271635412024181,0,0%,0.0,"0,0%",875070,-9.62,-36.82
AP, Amapá,19943,0.0970500068129173,28829,0.140292566133961,6807,0.0331253771436358,11491,0.0559194518521402,1006,0.00489556771066514,1537,0.00747960991182138,51705,0.251615634671909,81979,0.398940104724271,1209,0.00588344071788683,986,0.00479824032079108,0,0%,0.0,"0,0%",205492,1.41,-51.77
AM, Amazonas,93033,0.0905230669234145,123455,0.12012431316877,14760,0.0143617906311696,27358,0.0266199097620282,4121,0.00400981972839091,6662,0.00648226620493575,282677,0.275050670070943,430332,0.41872209254014,19100,0.0185847019685189,26229,0.0255213690016901,0,0%,0.0,"0,0%",1027727,-3.47,-65.1
BA, Bahia,298030,0.0756569369285208,494520,0.125537256148348,238057,0.0604323841035898,466889,0.118522939387378,17259,0.00438131421148656,32537,0.00825973813657444,867280,0.220164910443135,1508267,0.382883807973591,5482,0.00139164288240161,9084,0.0023060350134506,0,0%,1824.0,"0,0%",3939229,-13.29,-41.71
CE, Ceará,271023,0.11234551729684,464379,0.192496205033481,30391,0.0125977965566327,75048,0.0311091914047635,10477,0.00434296714566288,21102,0.0087472838319918,506439,0.209931081252492,1027682,0.425998774667282,2004,0.000830705942532061,3861,0.0016004768683215,0,0%,0.0,"0,0%",2412406,-5.2,-39.53
DF, Distrito Federal,124916,0.17035308621435,159174,0.217072129631776,22618,0.0308450967369766,40899,0.0557756482202497,5049,0.00688552893381355,8744,0.0119245523860697,143615,0.195853681487351,226284,0.308592796446636,636,0.000867339354704975,1172,0.00159830459703495,0,0%,170.0,"0,0%",733277,-15.83,-47.86
ES, Espírito Santo,131754,0.139061985459888,239058,0.252317805304354,22517,0.0237659481048036,61783,0.0652099112563434,2127,0.00224497808850723,4684,0.00494380694243906,146069,0.154170994080942,336715,0.355391535999865,832,0.000878148457751771,1909,0.00201488630510593,0,0%,0.0,"0,0%",947448,-19.19,-40.34
GO, Goiás,242801,0.147673093987942,398393,0.242305126145024,32701,0.0198889536966474,80776,0.0491284708051861,10612,0.00645428508696438,23155,0.0140830165085432,288923,0.175724784223616,564376,0.343257029800283,783,0.000476225520457323,1479,0.000899537094197165,0,0%,180.0,"0,0%",1644179,-15.98,-49.86
MA, Maranhão,155181,0.0802597382446722,257056,0.132949570335431,60858,0.0314758066393067,123341,0.0637920645880366,8761,0.00453119625960377,15158,0.00783972981429905,472571,0.244414101997171,831932,0.430275900769853,4399,0.00227516634470917,4228,0.00218672500691756,0,0%,0.0,"0,0%",1933485,-5.42,-45.44
MT, Mato Grosso,115883,0.13562577244298,186863,0.218698503801356,20811,0.0243565315905771,45997,0.0538334238418037,3630,0.00424843638815026,7187,0.00841143590127711,159746,0.186961630650537,302561,0.354107758136399,5708,0.00668046140593985,5740,0.00671791318677203,0,0%,306.0,"0,0%",854432,-12.64,-55.42
MS, Mato Grosso do Sul,112390,0.16947695722588,187194,0.282276621860854,10107,0.0152407118665537,24370,0.0367484068653322,2511,0.00378642797040826,4819,0.00726674487829446,97961,0.147718944806517,203852,0.307395824222885,5789,0.00872944305881856,14056,0.0211955521911822,0,0%,109.0,"0,0%",663158,-20.51,-54.54
MG, Minas Gerais,825390,0.16007728176406,1353272,0.262455449239042,144907,0.0281034646271273,348775,0.06764190739803,18401,0.0035687154699481,39490,0.00765874538928594,796650,0.154503406289558,1620296,0.314242454273954,2605,0.000505217314233727,5444,0.00105581691312415,0,0%,967.0,"0,0%",5156197,-18.1,-44.38
PA, Pará,178394,0.0795065791232946,284365,0.126735699476416,52790,0.0235274298009951,105146,0.0468614346250319,7925,0.00353201138800694,14705,0.00655371955339332,591614,0.263670332530516,998366,0.444951429829519,3993,0.001779598923951,6125,0.00272978798126719,0,0%,341.0,"0,0%",2243764,-3.79,-52.48
PB, Paraiba,154669,0.150700307404502,237450,0.231357207929185,19114,0.0186235488412653,38279,0.0372967890601022,5257,0.00512210925282681,9589,0.00934295332420701,199974,0.194842814480652,356331,0.347187809048702,2220,0.00216303643547185,3338,0.00325234937910137,0,0%,114.0,"0,0%",1026335,-7.28,-36.72
PR, Paraná,694122,0.25621914329324,1171019,0.432254682836888,23600,0.00871139624118017,62353,0.0230161732977249,12309,0.00454358374291046,15732,0.00580710532484095,229965,0.0848862812119915,493620,0.182208449685227,1940,0.00071610630118176,4435,0.001637078064815,0,0%,0.0,"0,0%",2709095,-24.89,-51.55
PE, Pernambuco,318362,0.132043762136909,523444,0.217103533172904,50570,0.0209744035131815,105368,0.0437024114964783,9506,0.00394270673910032,16296,0.00675892583845769,478461,0.198446392709518,893962,0.370779507879192,6490,0.00269179115682317,8446,0.00350306134214615,0,0%,129.0,"0,0%",2411034,-8.38,-37.86
PI, Piauí,90331,0.102710489930322,118333,0.134550048210745,29887,0.0339828897338403,51143,0.0581519366165154,7491,0.0085176105663398,11503,0.0130794385722343,226562,0.257611385012826,343394,0.390454727381884,316,0.000359306492986701,512,0.000582167482307566,0,0%,,"0,0%",879472,-6.6,-42.28
RJ, Rio de Janeiro,708655,0.179986706501445,1041777,0.264594211765889,168169,0.0427121581667265,335715,0.0852660845871866,12094,0.00307167694919034,24349,0.0061842452485394,598703,0.15206070816199,1043518,0.265036397111394,1260,0.000320019262111777,2030,0.000515586588957862,0,0%,993.0,"0,0%",3937263,-22.25,-42.66
RN, Rio Grande do Norte,137520,0.153700170666202,218947,0.244707615378511,15041,0.0168106767524021,31303,0.0349860125244627,3626,0.00405262375534939,6965,0.00778447999338347,170336,0.190377198011912,310213,0.346711685884776,185,0.000206766518130071,372,0.000415768349969656,0,0%,221.0,"0,0%",894729,-5.81,-36.59
RS, Rio Grande do Sul,804640,0.304750593014567,1353003,0.512438440296888,51789,0.0196146456323715,110828,0.0419751674321664,2646,0.00100215011572448,5857,0.00221828920173782,96758,0.0366462739596633,205693,0.0779044836559769,2328,0.00088171030589818,6781,0.00256824638500668,0,0%,0.0,"0,0%",2640323,-30.17,-53.5
RO, Rondônia,54914,0.121177750463955,97263,0.214628538139193,9523,0.0210142353073577,22158,0.0488956658553431,2845,0.00627801107313166,4782,0.0105523546403218,87388,0.192837550670942,169639,0.374339374493842,1427,0.00314893560680452,2217,0.00489221460426463,0,0%,1013.0,"0,2%",453169,-10.83,-63.34
RR, Roraima,11600,0.0870563689989268,15244,0.114404076639624,2522,0.0189272553978701,5490,0.0412016780865611,536,0.00402260463650214,814,0.00610895554871779,33304,0.249941837339677,51071,0.383280674236568,3808,0.0285785045817167,8858,0.0664780445338357,0,0%,0.0,"0,0%",133247,1.99,-61.33
SC, Santa Catarina,486802,0.290157052521906,895807,0.533943407686269,14052,0.00837565766376849,39804,0.0237250695736294,2296,0.00136852476487421,5783,0.00344694194915835,65763,0.0391978632893828,162573,0.096901209320512,1397,0.000832678177930869,3295,0.00196397608896365,0,0%,147.0,"0,0%",1677719,-27.45,-50.95
SP, São Paulo,2388018,0.222585552181378,4124624,0.384453429823629,182258,0.0169881456377103,434879,0.0405347791964238,49488,0.00461274320643815,67603,0.00630123017670624,1084368,0.101073212198491,2380150,0.221852181191476,3344,0.000311691991640987,7842,0.000730947547382962,0,0%,5966.0,"0,1%",10728540,-22.19,-48.79
SE, Sergipe,63452,0.107145329742235,91066,0.153774453103233,19433,0.0328146503322329,34636,0.0584865038289106,3179,0.00536807355560997,5481,0.00925524100607053,147586,0.249214376778312,225693,0.381106204777062,730,0.00123268125058046,796,0.00134412914446855,0,0%,153.0,"0,0%",592205,-10.57,-37.45
TO, Tocantins,36839,0.0929571209762277,52546,0.132591136535108,12331,0.0311152381649302,25008,0.0631035500793589,3477,0.00877363418209896,5597,0.0141231033986793,95036,0.239807620974966,161954,0.408664121463231,1856,0.00468330889904391,1657,0.00418116532635547,0,0%,0.0,"0,0%",396301,-9.46,-48.26
