UF,Nome,BrancaEstuda,BrancaEstuda(%),BrancaNaoEstuda,BrancaNaoEstuda(%),PretaEstuda,PretaEstuda(%),PretaNaoEstuda,PretaNaoEstuda(%),AmarelaEstuda,AmarelaEstuda(%),AmarelaNaoEstuda,AmarelaNaoEstuda(%),PardaEstuda,PardaEstuda(%),PardaNaoEstuda,PardaNaoEstuda(%),IndigenaEstuda,IndigenaEstuda(%),IndigenaNaoEstuda,IndigenaNaoEstuda(%),Total,latitude,longitude
AC, Acre,22559,0.10248593935979793,30754,0.13971597052490028,4657,0.021156834061730526,8760,0.039796836242379084,0.0,0.0,2425.0,0.011016818252028458,50885,0.23117146257916207,91508,0.41572247612644125,4843.0,0.0220018353792057,3727.0,0.016931827474354663,220118,-8.77,-70.55
AL, Alagoas,103668,0.11724324342664041,138023,0.15609700377623945,13262,0.0149986485156857,33757,0.038177452717840614,0.0,0.0,,0.0,209153,0.23654142158054678,386350,0.43694222998304705,,0.0,0.0,0.0,884213,-9.62,-36.82
AP, Amapá,13741,0.06677065414929492,21589,0.10490587675053695,4908,0.023849091810256857,9069,0.04406834018484504,0.0,0.0,0.0,0.0,66719,0.32420284362031937,89768,0.4362031934847469,,0.0,0.0,0.0,205794,1.41,-51.77
AM, Amazonas,90947,0.08954085048399928,117501,0.11568429384938919,12600,0.012405188913305451,29283,0.028830249757803454,0.0,0.0,0.0,0.0,290887,0.2863895386844986,445197,0.43831372132038465,12600.0,0.012405188913305451,16689.0,0.016430968077313864,1015704,-3.47,-65.1
BA, Bahia,281645,0.07424991491359677,434942,0.11466351787658081,243118,0.06409306330296585,463333,0.12214822143713373,0.0,0.0,6884.0,0.0018148250963631526,852753,0.22481079973837415,1504091,0.3965226749003415,0.0,0.0,6437.0,0.0016969827346440462,3793203,-13.29,-41.71
CE, Ceará,277880,0.11901085822041335,448710,0.19217418379185863,26989,0.011558888917916855,57402,0.024584213630229477,0.0,0.0,0.0,0.0,520057,0.22273078268869118,1003875,0.4299410727508905,0.0,0.0,0.0,0.0,2334913,-5.2,-39.53
DF, Distrito Federal,119569,0.16407004698340213,159334,0.21863473698076755,24844,0.034090410116799856,44131,0.060555622639852466,0.0,0.0,0.0,0.0,142651,0.19574267805392115,238239,0.3269065052252569,0.0,0.0,0.0,0.0,728768,-15.83,-47.86
ES, Espírito Santo,131096,0.14446843141727744,209787,0.23118629723055154,17478,0.019260841248483367,68300,0.07526693313144604,0.0,0.0,0.0,0.0,150242,0.16556741680138676,330534,0.36425008017085486,0.0,0.0,0.0,0.0,907437,-19.19,-40.34
GO, Goiás,237545,0.14759976786178083,366218,0.22755137673622114,33104,0.020569335137748185,70775,0.043976398452577566,0.0,0.0,0.0,0.0,306237,0.19028188389857995,595507,0.3700212379130923,0.0,0.0,0.0,0.0,1609386,-15.98,-49.86
MA, Maranhão,122432,0.06904840189653004,241147,0.13600051434381966,48530,0.027369633298799358,135878,0.07663158939571933,,0.0,,0.0,427787,0.24126052586015825,797359,0.44968933520497334,0.0,0.0,0.0,0.0,1773133,-5.42,-45.44
