UF,Nome,BrancaEstuda,BrancaEstuda(%),BrancaNaoEstuda,BrancaNaoEstuda(%),PretaEstuda,PretaEstuda(%),PretaNaoEstuda,PretaNaoEstuda(%),AmarelaEstuda,AmarelaEstuda(%),AmarelaNaoEstuda,AmarelaNaoEstuda(%),PardaEstuda,PardaEstuda(%),PardaNaoEstuda,PardaNaoEstuda(%),IndigenaEstuda,IndigenaEstuda(%),IndigenaNaoEstuda,IndigenaNaoEstuda(%),IgnoradoEstuda,IgnoradoEstuda(%),IgnoradoNaoestuda,IgnoradoNaoestuda(%),Total,latitude,longitude
RO,Rondônia,37221.9,0.0884113765467412,60468.3,0.143627424726876,8238.62,0.0195687951191506,20458.4,0.0485938467929862,1131.77,0.00268823847343379,1636.89,0.00388802554828193,106330.0,0.252560499819058,182121.0,0.432583191832471,689.666,0.00163813025174655,2711.49,0.006440470889254,0,"0,0%",0.0,"0,0%",421008.036,-10.83,-63.34
AC,Acre,16328.0,0.070988252470259,19631.1,0.0853489394334212,5218.89,0.0226898506206829,6867.18,0.0298560207985493,0.0,0.0,520.38,0.00226242447455128,69039.2,0.300157530618858,111556.0,0.485005235948813,401.936,0.00174747269995627,447.202,0.00194427293490965,0,"0,0%",0.0,"0,0%",230009.888,-8.77,-70.55
AM,Amazonas,65750.3,0.0617403924030536,81637.0,0.0766582116675982,13537.9,0.0127122653176229,17242.6,0.0161910271139279,2953.02,0.00277292443645223,3056.96,0.00287052545707683,313077.0,0.293983401328523,538505.0,0.505663244289476,12727.4,0.011951195207788,16460.7,0.0154568127784808,0,"0,0%",0.0,"0,0%",1064947.88,-3.47,-65.1
RR,Roraima,10875.4,0.0723945617980553,16175.0,0.107672548787497,3649.08,0.0242909270064593,7127.97,0.0474489457546099,378.952,0.00252257976557153,633.439,0.0042166300854036,39565.2,0.263374709569525,62330.4,0.414916416379858,3434.64,0.0228634586069545,6053.91,0.0402992222460659,0,"0,0%",0.0,"0,0%",150223.991,1.99,-61.33
PA,Pará,149050.0,0.0701833485713524,187915.0,0.0884837567714571,61969.6,0.0291796983403373,93291.7,0.0439283723576923,3109.16,0.00146401382116139,8919.56,0.00419996369394895,627816.0,0.295620457340974,980005.0,0.46145610544561,5074.73,0.00238954407578329,6572.37,0.00309473958168332,0,"0,0%",0.0,"0,0%",2123723.12,-3.79,-52.48
AP,Amapá,17655.6,0.0747290811139649,17389.3,0.0736019399066058,5986.32,0.0253376941510994,12080.0,0.0511298001685978,293.539,0.00124243298110017,188.254,0.000796803758355895,82635.7,0.349763810247699,99530.6,0.421273153034821,470.376,0.00199091315265765,31.7468,0.000134371485098712,0,"0,0%",0.0,"0,0%",236261.4358,1.41,-51.77
TO,Tocantins,29784.5,0.0826508988285594,36877.0,0.102332327086263,15193.9,0.0421625171384864,28676.7,0.0795767943204335,1480.86,0.00410933237218219,2089.1,0.00579717614003067,96316.3,0.267274211984125,148280.0,0.411471580127207,411.357,0.00114150063923919,1255.39,0.0034836613634738,0,"0,0%",0.0,"0,0%",360365.107,-9.46,-48.26
MA,Maranhão,119644.0,0.0686380211909306,170006.0,0.0975299674917701,63708.8,0.0365488111768978,106911.0,0.0613332844400353,6922.17,0.00397114816578536,3516.85,0.00201756565164425,461950.0,0.265013990581645,804093.0,0.461296449245085,1845.09,0.00105850127477495,4518.61,0.00259226078143117,0,"0,0%",0.0,"0,0%",1743115.52,-5.42,-45.44
PI,Piauí,61952.1,0.0831494956276263,84841.2,0.113870280239775,27549.5,0.0369757769275503,37446.0,0.0502584418166954,0.0,0.0,298.081,0.00040007174585169,217954.0,0.29252866601816,314393.0,0.421965024250289,0.0,0.0,634.98,0.000852243374052375,0,"0,0%",0.0,"0,0%",745068.861,-6.6,-42.28
CE,Ceará,207581.0,0.0965269444404363,293770.0,0.136605568275839,35909.1,0.0166980393225106,66842.0,0.0310821029876898,1427.67,0.000663878788373106,8273.05,0.00384703916882061,515304.0,0.239620777325163,1015219.0,0.472085537731658,2417.4,0.00112411172260617,3754.77,0.00174600023690327,0,"0,0%",0.0,"0,0%",2150497.99,-5.2,-39.53
