UF,Nome,BrancaMasculino,BrancaMasculino(%),BrancaFeminino,BrancaFeminino(%),PretaMasculino,PretaMasculino(%),PretaFeminino,PretaFeminino(%),AmarelaMasculino,AmarelaMasculino(%),AmarelaFeminino,AmarelaFeminino(%),PardaMasculino,PardaMasculino(%),PardaFeminino,PardaFeminino(%),IndigenaMasculino,IndigenaMasculino(%),IndigenaFeminino,IndigenaFeminino(%),Total,latitude,longitude
AC, Acre,26469,0.12045325263373456,26844,0.12215977610412068,8574,0.039017952626908464,4843,0.022039181778880066,0.0,0.0,2052.0,0.0093380964299529,71566,0.3256774898177433,70827,0.322314500898769,4473.0,0.020355411954765753,4097.0,0.018644337755125258,219745,-8.77,-70.55
AL, Alagoas,121752,0.13769532906663892,119939,0.13564491813624094,26521,0.02999390418372044,20498,0.023182197049805873,,0.0,0.0,0.0,295334,0.3340077560497301,300169,0.33947589551386376,,0.0,0.0,0.0,884213,-9.62,-36.82
AP, Amapá,13741,0.06677065414929492,21589,0.10490587675053695,7846,0.03812550414492162,6131,0.029791927850180276,,0.0,0.0,0.0,80203,0.3897246761324431,76284,0.3706813609726231,0.0,0.0,,0.0,205794,1.41,-51.77
AM, Amazonas,97744,0.09587915052234047,110704,0.10859188778262789,22473,0.022044239540928934,19410,0.019039678257884152,0.0,0.0,3746.0,0.0036745303840306047,374015,0.3668791995683947,362069,0.35516111628819463,15326.0,0.01503359654715778,13963.0,0.013696601108440827,1019450,-3.47,-65.1
BA, Bahia,349535,0.09247246342610695,367052,0.09710673507797334,362983,0.09603024644684675,343468,0.0908673868655159,0.0,0.0,0.0,0.0,1155493,0.30569552171205344,1201351,0.31782764647150363,0.0,0.0,0.0,0.0,3779882,-13.29,-41.71
CE, Ceará,347511,0.14883252609411998,379079,0.16235251591815197,53400,0.022870231139233026,30991,0.013272871408913308,0.0,0.0,0.0,0.0,778346,0.33335117839508366,745586,0.319320677044498,0.0,0.0,0.0,0.0,2334913,-5.2,-39.53
DF, Distrito Federal,137701,0.18895039299200844,141202,0.19375439097216124,34782,0.04772712303503996,34193,0.04691890972161236,0.0,0.0,0.0,0.0,186203,0.25550380916834986,194687,0.2671453741108281,0.0,0.0,0.0,0.0,728768,-15.83,-47.86
ES, Espírito Santo,163883,0.18059986533500397,177000,0.195054863312825,40430,0.04455405719625715,45348,0.04997371718367225,0.0,0.0,0.0,0.0,251864,0.2775553564600077,228912,0.2522621405122339,,0.0,0.0,0.0,907437,-19.19,-40.34
GO, Goiás,303332,0.18847684769222547,300431,0.1866742969057765,52151,0.032404283372665106,51728,0.03214145021766065,0.0,0.0,0.0,0.0,470954,0.29262961154129585,430790,0.2676735102703764,0.0,0.0,,0.0,1609386,-15.98,-49.86
MA, Maranhão,178421,0.10062471343097218,185158,0.10442420280937753,94821,0.053476529961373455,89587,0.05052469273314523,,0.0,,0.0,610707,0.344422556006797,614439,0.3465273050583346,0.0,0.0,0.0,0.0,1773133,-5.42,-45.44
