UF,Nome,BrancaMasculino,BrancaMasculino(%),BrancaFeminino,BrancaFeminino(%),PretaMasculino,PretaMasculino(%),PretaFeminino,PretaFeminino(%),AmarelaMasculino,AmarelaMasculino(%),AmarelaFeminino,AmarelaFeminino(%),PardaMasculino,PardaMasculino(%),PardaFeminino,PardaFeminino(%),IndigenaMasculino,IndigenaMasculino(%),IndigenaFeminino,IndigenaFeminino(%),IgnoradoMasculino,IgnoradoMasculino(%),IgnoradoFeminino,IgnoradoFeminino(%),Total,latitude,longitude
RO,Rondônia,56609.0,0.129317220949918,59292.3,0.135446933521681,12055.5,0.0275395035623617,15587.3,0.0356075238586206,841.501,0.00192231925571158,503.608,0.00115043874663298,148769.0,0.339846908503919,142023.0,0.324436391227017,1044.83,0.00238680266327091,1026.95,0.00234595771086785,0.0,"0,0%",0.0,"0,0%",437752.989,-10.83,-63.34
AC,Acre,17807.1,0.0831595066408193,18813.6,0.087859881403357,5329.94,0.0248909244528962,5024.5,0.0234645136556091,590.45,0.00275741309343305,526.636,0.00245940046045086,85541.0,0.399478149589901,79735.7,0.372367284603353,419.745,0.00196021739165561,343.191,0.00160270870852466,0.0,"0,0%",0.0,"0,0%",214131.862,-8.77,-70.55
AM,Amazonas,81102.6,0.0782252404335558,89386.4,0.0862151476215312,13846.0,0.0133547713518804,9705.23,0.00936090766773148,2283.9,0.00220287175289323,784.577,0.000756741762454446,432946.0,0.417585933678406,382940.0,0.36935404748585,12389.5,0.0119499450862431,11398.8,0.010994393159455,0.0,"0,0%",0.0,"0,0%",1036783.007,-3.47,-65.1
RR,Roraima,11676.8,0.0927198614792204,12009.6,0.0953624664651998,5536.62,0.0439636406775042,5314.13,0.0421969544295157,0.0,0.0,161.78,0.00128461729156175,42955.9,0.341092174030149,42553.0,0.337892938606918,2453.82,0.0194846062701203,3274.69,0.0260027407498106,0.0,"0,0%",0.0,"0,0%",125936.34,1.99,-61.33
PA,Pará,147813.0,0.0690380373649852,183190.0,0.085561338075079,87857.4,0.0410349729996039,67123.0,0.031350694337101,0.0,0.0,2785.47,0.00130099099496692,807641.0,0.377219524233281,837821.0,0.391315496628641,3555.42,0.00166060643386046,3250.82,0.00151833893248118,0.0,"0,0%",0.0,"0,0%",2141037.11,-3.79,-52.48
AP,Amapá,15744.4,0.0735982010633352,21520.3,0.10059801366475,9486.03,0.0443430517030074,4578.86,0.0214041728437326,143.852,0.000672445340525069,141.584,0.000661843430003763,82967.6,0.387837333054443,79181.7,0.370139902259641,0.0,0.0,159.381,0.000745036640562703,0.0,"0,0%",0.0,"0,0%",213923.707,1.41,-51.77
TO,Tocantins,38020.4,0.101545893363955,36536.4,0.0975823867792762,23823.5,0.0636284360647487,15619.5,0.0417169751343565,1122.51,0.00299802949889987,293.638,0.000784256163417663,126500.0,0.337859557251903,130864.0,0.349515044270459,697.914,0.00186400723351703,938.067,0.00250541423946736,0.0,"0,0%",0.0,"0,0%",374415.929,-9.46,-48.26
MA,Maranhão,151562.0,0.0844514237235038,160797.0,0.0895972313671517,89381.3,0.0498038956945515,86762.5,0.0483446817197616,3699.62,0.00206145456140688,1442.85,0.000803966275975888,650117.0,0.36224981352089,647849.0,0.360986067799635,1084.0,0.000604012505220822,1969.56,0.00109745283190288,0.0,"0,0%",0.0,"0,0%",1794664.83,-5.42,-45.44
PI,Piauí,57762.1,0.0764026832519821,64476.9,0.0852844368153119,29350.6,0.0388224215368836,22750.3,0.0300921186173558,0.0,0.0,0.0,0.0,305719.0,0.404378509803361,274414.0,0.362970977888779,844.486,0.00111701264962204,704.491,0.000931839436704555,0.0,"0,0%",0.0,"0,0%",756021.877,-6.6,-42.28
CE,Ceará,278241.0,0.128291023045442,288590.0,0.133062727422213,40706.9,0.0187690881142912,35041.0,0.0161566618094937,1964.69,0.000905876883950061,3421.78,0.00157771017512312,759617.0,0.350243285686543,756008.0,0.348579252340735,2322.36,0.00107079093404571,2914.0,0.00134358358816428,0.0,"0,0%",0.0,"0,0%",2168826.73,-5.2,-39.53
