UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
AC, Acre,109024,0.50076246118797,108692,0.49923753881203,217716,-8.77,-70.55
AL, Alagoas,445143,0.491422736179726,460682,0.508577263820274,905825,-9.62,-36.82
AP, Amapá,106596,0.494014598540146,109179,0.505985401459854,215775,1.41,-51.77
AM, Amazonas,536394,0.499564599063259,537329,0.500435400936741,1073723,-3.47,-65.1
BA, Bahia,1809916,0.4866628036574,1909119,0.5133371963426,3719035,-13.29,-41.71
CE, Ceará,1143269,0.496969762832105,1157211,0.503030237167895,2300480,-5.2,-39.53
DF, Distrito Federal,368067,0.518236345972432,342163,0.481763654027569,710230,-15.83,-47.86
ES, Espírito Santo,461952,0.510062638225328,443725,0.489937361774672,905677,-19.19,-40.34
GO, Goiás,831888,0.517872428109069,774469,0.482127571890931,1606357,-15.98,-49.86
MA, Maranhão,873972,0.48593468695129,924566,0.51406531304871,1798538,-5.42,-45.44
MT, Mato Grosso,411666,0.523115826926743,375284,0.476884173073258,786950,-12.64,-55.42
MS, Mato Grosso do Sul,319842,0.514910812029107,301318,0.485089187970893,621160,-20.51,-54.54
MG, Minas Gerais,2490729,0.502012703452151,2470757,0.497987296547849,4961486,-18.1,-44.38
PA, Pará,1084718,0.505227788883776,1062270,0.494772211116224,2146988,-3.79,-52.48
PB, Paraiba,483917,0.49333124005395,497000,0.50666875994605,980917,-7.28,-36.72
PR, Paraná,1324656,0.509299729020629,1276280,0.490700270979371,2600936,-24.89,-51.55
PE, Pernambuco,1124623,0.494373245485629,1150223,0.505626754514372,2274846,-8.38,-37.86
PI, Piauí,417051,0.507167578321663,405263,0.492832421678337,822314,-6.6,-42.28
RJ, Rio de Janeiro,1776495,0.486833000601521,1872590,0.513166999398479,3649085,-22.25,-42.66
RN, Rio Grande do Norte,458134,0.501478820358901,455432,0.498521179641099,913566,-5.81,-36.59
RS, Rio Grande do Sul,1223052,0.497037409110638,1237632,0.502962590889362,2460684,-30.17,-53.5
RO, Rondônia,234247,0.517533394311368,218375,0.482466605688632,452622,-10.83,-63.34
RR, Roraima,73572,0.518773930150403,68247,0.481226069849597,141819,1.99,-61.33
SC, Santa Catarina,769251,0.502504188890377,761584,0.497495811109623,1530835,-27.45,-50.95
SP, São Paulo,5099241,0.499011418884972,5119445,0.500988581115028,10218686,-22.19,-48.79
SE, Sergipe,286635,0.499382381585389,287344,0.500617618414611,573979,-10.57,-37.45
TO, Tocantins,184179,0.495179381842428,187765,0.504820618157572,371944,-9.46,-48.26
