Nome,15a17,18ou19,20a24,25a29,Total,UF,latitude,longitude
Rondônia,95894,60061,151352,146239,453546,RO,-10.83,-63.34
Acre,47949,29034,70335,67418,214736,AC,-8.77,-70.55
Amazonas,227444,137350,339632,323404,1027830,AM,-3.47,-65.1
Roraima,29139,17848,43616,43190,133793,RR,1.99,-61.33
Pará,484826,302353,749005,707465,2243649,PA,-3.79,-52.48
Amapá,45414,27860,68549,63801,205624,AP,1.41,-51.77
Tocantins,85562,53757,131865,125174,396358,TO,-9.46,-48.26
Maranhão,417388,264863,656765,595173,1934189,MA,-5.42,-45.44
Piauí,184149,117719,301449,275371,878688,PI,-6.6,-42.28
Ceará,525633,321208,822837,742892,2412570,CE,-5.2,-39.53
Rio Grande do Norte,184825,112453,309565,288122,894965,RN,-5.81,-36.59
Paraíba,215809,137168,346502,327529,1027008,PB,-7.28,-36.72
Pernambuco,494520,319078,817582,779641,2410821,PE,-8.38,-37.86
Alagoas,195244,117748,290057,272004,875053,AL,-9.62,-36.82
Sergipe,125208,76837,200765,189501,592311,SE,-10.57,-37.45
Bahia,820540,506741,1304362,1308861,3940504,BA,-13.29,-41.71
Minas Gerais,1041570,677705,1733494,1704691,5157460,MG,-18.1,-44.38
Espírito Santo,182636,118893,323199,322632,947360,ES,-19.19,-40.34
Rio de Janeiro,773187,497089,1302789,1364348,3937413,RJ,-22.25,-42.66
São Paulo,1990247,1313661,3637688,3789789,10731385,SP,-22.19,-48.79
Paraná,565912,362719,901332,880232,2710195,PR,-24.89,-51.55
Santa Catarina,326188,218998,565658,566483,1677327,SC,-27.45,-50.95
Rio Grande do Sul,531667,344070,870906,893999,2640642,RS,-30.17,-53.5
Mato Grosso do Sul,138415,87576,219930,217254,663175,MS,-20.51,-54.54
Mato Grosso,174505,109877,286026,284167,854575,MT,-12.64,-55.42
Goiás,322401,211189,554139,556602,1644331,GO,-15.98,-49.86
Distrito Federal,131602,89143,245793,268432,734970,DF,-15.83,-47.86
