UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
RO,Rondônia,43,0.7818181818181819,12,0.21818181818181817,55,-10.83,-63.34
AC,Acre,9,0.8181818181818182,2,0.18181818181818182,11,-8.77,-70.55
AM,Amazonas,220,0.7746478873239436,64,0.22535211267605634,284,-3.47,-65.1
RR,Roraima,32,0.8205128205128205,7,0.1794871794871795,39,1.99,-61.33
PA,Pará,235,0.6772334293948127,112,0.3227665706051873,347,-3.79,-52.48
AP,Amapá,8,0.5714285714285714,6,0.42857142857142855,14,1.41,-51.77
TO,Tocantins,26,0.896551724137931,3,0.10344827586206896,29,-9.46,-48.26
MA,Maranhão,108,0.7659574468085106,33,0.23404255319148937,141,-5.42,-45.44
PI,Piauí,50,0.847457627118644,9,0.15254237288135594,59,-6.6,-42.28
CE,Ceará,146,0.8202247191011236,32,0.1797752808988764,178,-5.2,-39.53
RN,Rio Grande do Norte,63,0.7777777777777778,18,0.2222222222222222,81,-5.81,-36.59
PB,Paraíba,41,0.7454545454545455,14,0.2545454545454545,55,-7.28,-36.72
PE,Pernambuco,170,0.7798165137614679,48,0.22018348623853212,218,-8.38,-37.86
AL,Alagoas,50,0.746268656716418,17,0.2537313432835821,67,-9.62,-36.82
SE,Sergipe,39,0.8297872340425532,8,0.1702127659574468,47,-10.57,-37.45
BA,Bahia,160,0.7619047619047619,50,0.23809523809523808,210,-13.29,-41.71
MG,Minas Gerais,224,0.8549618320610687,38,0.1450381679389313,262,-18.1,-44.38
ES,Espírito Santo,53,0.7794117647058824,15,0.22058823529411764,68,-19.19,-40.34
RJ,Rio de Janeiro,319,0.7057522123893806,133,0.2942477876106195,452,-22.25,-42.66
SP,São Paulo,713,0.8427895981087471,133,0.15721040189125296,846,-22.19,-48.79
PR,Paraná,164,0.7772511848341233,47,0.22274881516587677,211,-24.89,-51.55
SC,Santa Catarina,146,0.7336683417085427,53,0.2663316582914573,199,-27.45,-50.95
RS,Rio Grande do Sul,183,0.571875,137,0.428125,320,-30.17,-53.5
MS,Mato Grosso do Sul,85,0.7870370370370371,23,0.21296296296296297,108,-20.51,-54.54
MT,Mato Grosso,104,0.832,21,0.168,125,-12.64,-55.42
GO,Goiás,140,0.875,20,0.125,160,-15.98,-49.86
DF,Distrito Federal,54,0.9152542372881356,5,0.0847457627118644,59,-15.83,-47.86
