UF,Nome,BibliotecasPublicas,BibliotecasPublicas(%),Museus,Museus(%),TeatrosSalasEspetaculos,TeatrosSalasEspetaculos(%),CentroCultural,CentroCultural(%),ArquivoPublico,ArquivoPublico(%),EstadiasGinasios,EstadiasGinasios(%),CentroArtesanato,CentroArtesanato(%),Total,latitude,longitude
RO,Rondônia,1,0.005,1,0.004,1,0.008,1,0.009,1,0.032,2,0.061,0,0.0,7,-10.83,-63.34
AC,Acre,13,0.07,16,0.069,11,0.091,2,0.018,1,0.032,0,0.0,5,0.278,48,-8.77,-70.55
AM,Amazonas,12,0.065,11,0.048,10,0.083,15,0.136,0,0.0,0,0.0,0,0.0,48,-3.47,-65.1
RR,Roraima,1,0.005,1,0.004,2,0.017,0,0.0,0,0.0,4,0.121,2,0.111,10,1.99,-61.33
PA,Pará,1,0.005,9,0.039,6,0.05,5,0.045,2,0.065,0,0.0,1,0.056,24,-3.79,-52.48
AP,Amapá,1,0.005,6,0.026,1,0.008,2,0.018,1,0.032,1,0.03,1,0.056,13,1.41,-51.77
TO,Tocantins,1,0.005,2,0.009,0,0.0,0,0.0,0,0.0,2,0.061,0,0.0,5,-9.46,-48.26
MA,Maranhão,11,0.059,15,0.065,3,0.025,1,0.009,1,0.032,0,0.0,0,0.0,31,-5.42,-45.44
PI,Piauí,1,0.005,2,0.009,2,0.017,10,0.091,1,0.032,2,0.061,1,0.056,19,-6.6,-42.28
CE,Ceará,1,0.005,3,0.013,3,0.025,2,0.018,1,0.032,0,0.0,0,0.0,10,-5.2,-39.53
RN,Rio Grande do Norte,1,0.005,6,0.026,3,0.025,1,0.009,1,0.032,0,0.0,0,0.0,12,-5.81,-36.59
PB,Paraiba,69,0.371,13,0.056,4,0.033,17,0.155,8,0.258,0,0.0,0,0.0,111,-7.28,-36.72
PE,Pernambuco,1,0.005,7,0.03,3,0.025,4,0.036,0,0.0,0,0.0,2,0.111,17,-8.38,-37.86
AL,Alagoas,1,0.005,4,0.017,4,0.033,2,0.018,1,0.032,0,0.0,0,0.0,12,-9.62,-36.82
SE,Sergipe,2,0.011,3,0.013,3,0.025,3,0.027,1,0.032,9,0.273,1,0.056,22,-10.57,-37.45
BA,Bahia,9,0.048,12,0.052,1,0.008,17,0.155,4,0.129,2,0.061,1,0.056,46,-13.29,-41.71
MG,Minas Gerais,1,0.005,8,0.035,2,0.017,3,0.027,1,0.032,0,0.0,1,0.056,16,-18.1,-44.38
ES,Espírito Santo,1,0.005,3,0.013,1,0.008,0,0.0,1,0.032,0,0.0,0,0.0,6,-19.19,-40.34
RJ,Rio de Janeiro,5,0.027,5,0.022,7,0.058,3,0.027,1,0.032,0,0.0,0,0.0,21,-22.25,-42.66
SP,São Paulo,14,0.075,18,0.078,11,0.091,10,0.091,1,0.032,3,0.091,0,0.0,57,-22.19,-48.79
PR,Paraná,2,0.011,6,0.026,2,0.017,0,0.0,0,0.0,0,0.0,0,0.0,10,-24.89,-51.55
SC,Santa Catarina,1,0.005,6,0.026,2,0.017,1,0.009,0,0.0,0,0.0,1,0.056,11,-27.45,-50.95
RS,Rio Grande do Sul,5,0.027,9,0.039,3,0.025,4,0.036,1,0.032,0,0.0,0,0.0,22,-30.17,-53.5
MS,Mato Grosso do Sul,1,0.005,2,0.009,1,0.008,1,0.009,1,0.032,0,0.0,1,0.056,7,-20.51,-54.54
MT,Mato Grosso,1,0.005,3,0.013,1,0.008,1,0.009,0,0.0,0,0.0,0,0.0,6,-12.64,-55.42
GO,Goiás,3,0.016,3,0.013,4,0.033,5,0.045,1,0.032,0,0.0,0,0.0,16,-15.98,-49.86
DF,Distrito Federal,26,0.14,57,0.247,30,0.248,0,0.0,1,0.032,8,0.242,1,0.056,123,-15.83,-47.86
