UF,Nome,Sim,Sim(%),Nao,Nao(%),NaoTemOpniaoFormada,NaoTemOpniaoFormada(%),Total,latitude,longitude
AC,Acre,150015,0.678,43762,0.198,27341,0.124,221118,-8.77,-70.55
AL,Alagoas,640668,0.802,62573,0.078,95173,0.119,798414,-9.62,-36.82
AP,Amapá,138799,0.676,48240,0.235,18416,0.09,205455,1.41,-51.77
AM,Amazonas,874734,0.796,153950,0.14,70354,0.064,1099038,-3.47,-65.1
BA,Bahia,2988442,0.838,303910,0.085,274612,0.077,3566964,-13.29,-41.71
CE,Ceará,1815691,0.778,275612,0.118,242981,0.104,2334284,-5.2,-39.53
DF,Distrito Federal,576181,0.803,72699,0.101,69098,0.096,717978,-15.83,-47.86
ES,Espírito Santo,678787,0.763,75409,0.085,135853,0.153,890049,-19.19,-40.34
GO,Goiás,1225731,0.796,129071,0.084,185367,0.12,1540169,-15.98,-49.86
MA,Maranhão,1421037,0.8,180995,0.102,174853,0.098,1776885,-5.42,-45.44
MT,Mato Grosso,616939,0.773,52974,0.066,128082,0.161,797995,-12.64,-55.42
MS,Mato Grosso do Sul,485025,0.755,83025,0.129,73964,0.115,642014,-20.51,-54.54
MG,Minas Gerais,3985886,0.813,494950,0.101,423522,0.086,4904358,-18.1,-44.38
PA,Pará,1600131,0.745,300201,0.14,247610,0.115,2147942,-3.79,-52.48
PB,Paraiba,794060,0.821,102521,0.106,70228,0.073,966809,-7.28,-36.72
PR,Paraná,1904224,0.733,404421,0.156,287525,0.111,2596170,-24.89,-51.55
PE,Pernambuco,1642682,0.722,339778,0.149,292261,0.128,2274721,-8.38,-37.86
PI,Piauí,690131,0.867,46772,0.059,58776,0.074,795679,-6.6,-42.28
RJ,Rio de Janeiro,2686108,0.753,431273,0.121,449794,0.126,3567175,-22.25,-42.66
RN,Rio Grande do Norte,661033,0.797,102016,0.123,66302,0.08,829351,-5.81,-36.59
RS,Rio Grande do Sul,1738418,0.727,386714,0.162,266358,0.111,2391490,-30.17,-53.5
RO,Rondônia,319335,0.706,88715,0.196,44513,0.098,452563,-10.83,-63.34
RR,Roraima,108853,0.827,8297,0.063,14542,0.11,131692,1.99,-61.33
SC,Santa Catarina,1115082,0.741,190197,0.126,198626,0.132,1503905,-27.45,-50.95
SP,São Paulo,7630474,0.762,1430681,0.143,946271,0.095,10007426,-22.19,-48.79
SE,Sergipe,496149,0.813,54603,0.09,59182,0.097,609934,-10.57,-37.45
TO,Tocantins,293515,0.798,29563,0.08,44825,0.122,367903,-9.46,-48.26
