UF,Nome,MenosDe1VezPorMes,MenosDe1VezPorMes(%),AoMenos1VezPorMes,AoMenos1VezPorMes(%),1VezPorSemana,1VezPorSemana(%),2VezPorSemana,2VezPorSemana(%),3VezPorSemana,3VezPorSemana(%),4VezPorSemana,4VezPorSemana(%),NaoAplicavel,NaoAplicavel(%),Total,latitude,longitude
AC,Acre,0,0.0,0,0.0,0,0.0,10420,0.049,8095,0.038,11244,0.053,182984,0.86,212743,-8.77,-70.55
AL,Alagoas,0,0.0,0,0.0,24047,0.031,21378,0.027,0,0.0,46608,0.06,690908,0.882,782941,-9.62,-36.82
AP,Amapá,0,0.0,0,0.0,0,0.0,0,0.0,9294,0.047,8875,0.045,177981,0.907,196150,1.41,-51.77
AM,Amazonas,0,0.0,0,0.0,0,0.0,26124,0.025,21465,0.02,46995,0.044,970613,0.911,1065197,-3.47,-65.1
BA,Bahia,0,0.0,27796,0.008,44793,0.013,113131,0.032,148223,0.042,259735,0.073,2948332,0.832,3542010,-13.29,-41.71
CE,Ceará,0,0.0,36890,0.016,45384,0.02,45329,0.019,84584,0.036,138504,0.06,1975518,0.849,2326209,-5.2,-39.53
DF,Distrito Federal,0,0.0,0,0.0,28233,0.04,36526,0.052,75714,0.107,56169,0.079,509976,0.722,706618,-15.83,-47.86
ES,Espírito Santo,0,0.0,0,0.0,0,0.0,0,0.0,30307,0.038,30633,0.038,742570,0.924,803510,-19.19,-40.34
GO,Goiás,0,0.0,0,0.0,26164,0.017,31672,0.021,57927,0.038,85754,0.057,1312450,0.867,1513967,-15.98,-49.86
MA,Maranhão,0,0.0,0,0.0,65930,0.038,44556,0.026,60631,0.035,121752,0.071,1420426,0.829,1713295,-5.42,-45.44
MT,Mato Grosso,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32253,0.043,718479,0.957,750732,-12.64,-55.42
MS,Mato Grosso do Sul,0,0.0,0,0.0,0,0.0,23241,0.037,32179,0.051,33618,0.053,547604,0.86,636642,-20.51,-54.54
MG,Minas Gerais,43857,0.009,42748,0.009,116657,0.024,226086,0.046,207905,0.042,365289,0.074,3901816,0.796,4904358,-18.1,-44.38
PA,Pará,0,0.0,14150,0.007,29828,0.014,38720,0.018,73190,0.034,93866,0.044,1881943,0.883,2131697,-3.79,-52.48
PB,Paraiba,0,0.0,0,0.0,0,0.0,0,0.0,60869,0.066,95716,0.104,764234,0.83,920819,-7.28,-36.72
PR,Paraná,0,0.0,0,0.0,92987,0.036,107261,0.042,89538,0.035,122945,0.048,2154283,0.839,2567014,-24.89,-51.55
PE,Pernambuco,0,0.0,0,0.0,42607,0.019,33534,0.015,61163,0.027,106367,0.047,2004910,0.892,2248581,-8.38,-37.86
PI,Piauí,0,0.0,0,0.0,0,0.0,26641,0.035,43325,0.057,72663,0.096,616150,0.812,758779,-6.6,-42.28
RJ,Rio de Janeiro,0,0.0,48411,0.014,92240,0.026,97207,0.027,164507,0.046,175266,0.05,2962952,0.837,3540583,-22.25,-42.66
RN,Rio Grande do Norte,0,0.0,0,0.0,0,0.0,0,0.0,70693,0.089,123805,0.156,596771,0.754,791269,-5.81,-36.59
RS,Rio Grande do Sul,26830,0.011,41838,0.017,116714,0.049,145056,0.061,144728,0.061,174843,0.073,1741481,0.728,2391490,-30.17,-53.5
RO,Rondônia,0,0.0,0,0.0,0,0.0,13043,0.03,18153,0.041,23485,0.053,385044,0.876,439725,-10.83,-63.34
RR,Roraima,0,0.0,0,0.0,0,0.0,7096,0.056,6242,0.049,8300,0.066,105010,0.829,126648,1.99,-61.33
SC,Santa Catarina,0,0.0,0,0.0,72876,0.049,44660,0.03,67021,0.045,40608,0.027,1252155,0.848,1477320,-27.45,-50.95
SP,São Paulo,93058,0.009,117613,0.012,278308,0.028,383893,0.038,492359,0.049,597673,0.06,8044522,0.804,10007426,-22.19,-48.79
SE,Sergipe,0,0.0,0,0.0,0,0.0,26276,0.045,20427,0.035,51166,0.087,487720,0.833,585589,-10.57,-37.45
TO,Tocantins,0,0.0,0,0.0,10445,0.029,13358,0.037,14437,0.04,10088,0.028,314344,0.867,362672,-9.46,-48.26
