UF,Nome,MenosDe1VezPorMes,MenosDe1VezPorMes(%),AoMenos1VezPorMes,AoMenos1VezPorMes(%),1VezPorSemana,1VezPorSemana(%),2VezPorSemana,2VezPorSemana(%),3VezPorSemana,3VezPorSemana(%),4VezPorSemana,4VezPorSemana(%),NaoAplicavel,NaoAplicavel(%),Total,latitude,longitude
AC,Acre,0,0.0,0,0.0,26140,0.121,24641,0.114,12989,0.06,15558,0.072,137149,0.634,216477,-8.77,-70.55
AL,Alagoas,0,0.0,0,0.0,67100,0.085,45565,0.058,39798,0.051,71766,0.091,561438,0.715,785667,-9.62,-36.82
AP,Amapá,0,0.0,0,0.0,9642,0.047,14770,0.072,23803,0.116,25248,0.123,131162,0.641,204625,1.41,-51.77
AM,Amazonas,21108,0.019,33527,0.031,87462,0.08,103872,0.095,99595,0.091,150446,0.137,603028,0.549,1099038,-3.47,-65.1
BA,Bahia,0,0.0,75910,0.021,310678,0.088,261662,0.074,258998,0.073,385530,0.109,2248344,0.635,3541122,-13.29,-41.71
CE,Ceará,0,0.0,25595,0.011,177885,0.077,173793,0.075,154188,0.067,230664,0.1,1552510,0.671,2314635,-5.2,-39.53
DF,Distrito Federal,0,0.0,0,0.0,45100,0.064,63903,0.091,77444,0.111,60802,0.087,452322,0.647,699571,-15.83,-47.86
ES,Espírito Santo,0,0.0,0,0.0,94018,0.108,53154,0.061,69530,0.08,80299,0.092,571151,0.658,868152,-19.19,-40.34
GO,Goiás,0,0.0,0,0.0,105458,0.07,133097,0.088,135657,0.09,174642,0.116,956612,0.635,1505466,-15.98,-49.86
MA,Maranhão,0,0.0,0,0.0,111089,0.064,144236,0.084,159997,0.093,146064,0.085,1164946,0.675,1726332,-5.42,-45.44
MT,Mato Grosso,0,0.0,0,0.0,73522,0.096,52900,0.069,81240,0.106,75471,0.098,485088,0.631,768221,-12.64,-55.42
MS,Mato Grosso do Sul,0,0.0,0,0.0,42083,0.067,38570,0.061,54143,0.086,66945,0.107,426270,0.679,628011,-20.51,-54.54
MG,Minas Gerais,33637,0.007,76874,0.016,434034,0.088,482307,0.098,437794,0.089,431178,0.088,3008534,0.613,4904358,-18.1,-44.38
PA,Pará,35964,0.017,59873,0.028,172258,0.08,185732,0.086,189578,0.088,190174,0.089,1314363,0.612,2147942,-3.79,-52.48
PB,Paraiba,0,0.0,0,0.0,60746,0.064,46459,0.049,68922,0.072,127957,0.134,647881,0.681,951965,-7.28,-36.72
PR,Paraná,52307,0.02,37370,0.014,227400,0.088,206113,0.079,227017,0.087,257781,0.099,1588182,0.612,2596170,-24.89,-51.55
PE,Pernambuco,0,0.0,30735,0.014,217214,0.096,108568,0.048,111812,0.049,204956,0.09,1593372,0.703,2266657,-8.38,-37.86
PI,Piauí,0,0.0,0,0.0,43614,0.057,49720,0.064,76747,0.099,85608,0.111,515686,0.669,771375,-6.6,-42.28
RJ,Rio de Janeiro,0,0.0,53513,0.015,328897,0.093,222822,0.063,224758,0.064,212984,0.06,2483596,0.704,3526570,-22.25,-42.66
RN,Rio Grande do Norte,0,0.0,0,0.0,47584,0.059,45679,0.057,81214,0.101,88197,0.109,544888,0.675,807562,-5.81,-36.59
RS,Rio Grande do Sul,0,0.0,66265,0.028,332579,0.14,202327,0.085,129877,0.055,172725,0.073,1471690,0.62,2375463,-30.17,-53.5
RO,Rondônia,0,0.0,0,0.0,46183,0.105,21486,0.049,24104,0.055,19995,0.046,326929,0.745,438697,-10.83,-63.34
RR,Roraima,0,0.0,0,0.0,8917,0.068,9012,0.069,11386,0.087,13749,0.106,87254,0.67,130318,1.99,-61.33
SC,Santa Catarina,0,0.0,43646,0.029,167312,0.112,136590,0.091,107883,0.072,91868,0.061,951569,0.635,1498868,-27.45,-50.95
SP,São Paulo,64986,0.006,290987,0.029,763180,0.076,769380,0.077,673539,0.067,752916,0.075,6692438,0.669,10007426,-22.19,-48.79
SE,Sergipe,0,0.0,0,0.0,59086,0.099,44089,0.074,36762,0.062,54596,0.092,401572,0.674,596105,-10.57,-37.45
TO,Tocantins,0,0.0,0,0.0,20541,0.058,29813,0.084,34073,0.096,31358,0.088,239755,0.674,355540,-9.46,-48.26
