UF,Nome,NaoAplicavel,NaoAplicavel(%),CincoMinutos,CincoMinutos(%),SeisMinutosMeiaHora,SeisMinutosMeiaHora(%),MeiaHoraUmaHora,MeiaHoraUmaHora(%),UmaHoraDuasHoras,UmaHoraDuasHoras(%),DuasHoras,DuasHoras(%),Total,latitude,longitude
AC,Acre,146618,0.6827825795395276,10902,0.0507693167424186,42706,0.19887676030102078,11487,0.05349359213173385,2439,0.011358132776991282,584,0.002719618508307876,214736,-8.77,-70.55
AL,Alagoas,600123,0.6858015605644361,39834,0.045521033793945155,152092,0.1738059213683965,59811,0.06835011679092368,20373,0.02328161925701774,2835,0.003239748225280778,875068,-9.62,-36.82
AP,Amapá,134325,0.6535987465696101,11762,0.057231553747640086,42866,0.20857743436034176,12589,0.06125557134237723,3233,0.015731135288736642,741,0.0036055586912941084,205516,1.41,-51.77
AM,Amazonas,688086,0.6695221590947791,46538,0.045282453414184895,147925,0.14393413815147407,100330,0.09762320149222507,37629,0.03661380892007313,7219,0.0070242389272637575,1027727,-3.47,-65.1
BA,Bahia,2547064,0.6465894722038247,208148,0.05283978159177849,776195,0.1970423653968835,291625,0.07403098423574765,99722,0.025315106077864476,16475,0.004182290493901218,3939229,-13.29,-41.71
CE,Ceará,1545326,0.6405533545065132,138843,0.057551836570243306,488328,0.20241692594278268,179696,0.07448582085035933,54358,0.0225319442268266,5935,0.0024601179032748793,2412486,-5.2,-39.53
DF,Distrito Federal,394254,0.5376164028270768,19722,0.026893501896126885,127914,0.17442730968163342,130996,0.1786300159408294,57207,0.0780091554087684,3244,0.004423614245565136,733337,-15.83,-47.86
ES,Espírito Santo,500042,0.5277404579347029,60943,0.06431877067909215,243239,0.2567125586402326,103149,0.10886265652786499,36377,0.03839200434821612,3765,0.003973551869891242,947515,-19.19,-40.34
GO,Goiás,872753,0.5308135362308263,105519,0.06417727985986936,410536,0.2496904231896751,164928,0.1003101850162391,81998,0.049871668552105,8446,0.005136907151285139,1644180,-15.98,-49.86
MA,Maranhão,1316037,0.6806444839349661,97196,0.05026904354554087,342736,0.17726049331890711,124994,0.0646459610367848,42791,0.02213118484667311,9762,0.005048833317127968,1933516,-5.42,-45.44
MT,Mato Grosso,489884,0.5733453023122991,69740,0.08162157037841558,223000,0.2609924031314407,56171,0.06574082635110383,13662,0.01598958839274324,1974,0.002310309433997596,854431,-12.64,-55.42
MS,Mato Grosso do Sul,366650,0.5528706600821804,48343,0.07289629434161421,180397,0.2720202058280243,49991,0.07538130960907755,15706,0.023683039921589325,2088,0.003148490217514231,663175,-20.51,-54.54
MG,Minas Gerais,2828229,0.5485108689644205,276658,0.053655457173361364,1317198,0.2554593067174535,537233,0.10419175380294965,177928,0.03450761656609186,18949,0.0036749967757231834,5156195,-18.1,-44.38
PA,Pará,1536125,0.6846148018076639,118525,0.05282380625551525,403405,0.17978812539553787,130043,0.05795710809437645,45254,0.020168643984704384,10428,0.004647514462202177,2243780,-3.79,-52.48
PB,Paraiba,688175,0.6705169364778557,61294,0.05972124111523041,201213,0.19605002265342214,59408,0.057883634485816036,14097,0.01373528136524624,2148,0.0020928839024295185,1026335,-7.28,-36.72
PR,Paraná,1370067,0.5057260523662946,181544,0.06701243840687104,773875,0.28565664947405217,287167,0.10600053375482493,88317,0.03260001720122741,8139,0.0030043087967298473,2709109,-24.89,-51.55
PE,Pernambuco,1576821,0.6540019759157274,108844,0.045144116590641194,445729,0.18487047465941997,198305,0.0822489438141478,71767,0.029766067172839538,9568,0.003968421847224054,2411034,-8.38,-37.86
PI,Piauí,590909,0.671876119255342,53752,0.06111716890792515,174584,0.19850572660777654,46726,0.05312845725538976,11131,0.012656184088296525,2389,0.0027163438852700027,879491,-6.6,-42.28
RJ,Rio de Janeiro,2401742,0.6100023188673768,107034,0.027184846747756754,605788,0.1538600252408587,481918,0.1223991159349874,282248,0.07168627375283414,58537,0.014867419456186233,3937267,-22.25,-42.66
RN,Rio Grande do Norte,586914,0.6558973476407703,53028,0.05926068308252107,171968,0.19218037920221362,65680,0.07339974475484619,15407,0.01721787252493781,1829,0.002043972794710927,894826,-5.81,-36.59
RS,Rio Grande do Sul,1335331,0.5057426381556597,179552,0.0680034404699097,783275,0.2966572070156196,262764,0.09951911441607643,72829,0.027583221384239968,6586,0.0024943785584946162,2640337,-30.17,-53.5
RO,Rondônia,275078,0.6069802798378608,35551,0.07844595325149882,115321,0.25446445317757854,20916,0.046152725892614814,4842,0.010684236889082087,1483,0.003272350951364877,453191,-10.83,-63.34
RR,Roraima,85197,0.639343524167586,8245,0.061872922247986975,32220,0.2417884238726671,6286,0.047172005973419785,942,0.007069047029424345,367,0.0027540767089158542,133257,1.99,-61.33
SC,Santa Catarina,745357,0.4442672862369332,147740,0.08805988119605036,608515,0.3627031176798063,146005,0.0870257408557556,27627,0.016466971286065273,2478,0.0014770027453892838,1677722,-27.45,-50.95
SP,São Paulo,5711072,0.532323990424068,376126,0.035058373142948115,2333910,0.21754169523526168,1439338,0.1341594271143836,732232,0.06825069972085733,135886,0.012665814362481317,10728564,-22.19,-48.79
SE,Sergipe,381922,0.6449141008365332,29475,0.049771532203321145,120369,0.2032552861673134,45948,0.07758786638433247,12536,0.021168309676024896,1956,0.0033029047324748483,592206,-10.57,-37.45
TO,Tocantins,239960,0.6054458843001898,32410,0.08177405030075492,98725,0.24909420289855072,20119,0.05076248435670744,4070,0.010269064632029389,1052,0.002654313511767793,396336,-9.46,-48.26
