UF,Nome,NaoAplicavel,NaoAplicavel(%),NesteMunicipio,NesteMunicipio(%),OutroMunicipio,OutroMunicipio(%),PaisEstrangeiro,PaisEstrangeiro(%),Total,latitude,longitude
AC,Acre,135003,0.6286958344005402,76026,0.3540456842154283,3092,0.0143991431299043,614,0.00285933825412718,214735,-8.77,-70.55
AL,Alagoas,546423,0.6244541684332505,293633,0.3355648478185594,34985,0.039980983748190084,0,0.0,875041,-9.62,-36.82
AP,Amapá,124823,0.6075442310968339,75548,0.3677106909055511,5084,0.02474507799761505,0,0.0,205455,1.41,-51.77
AM,Amazonas,614035,0.5974695590069726,401706,0.39086877241599416,11602,0.011289001154004082,383,0.0003726674230290953,1027726,-3.47,-65.1
BA,Bahia,2513122,0.6379729033339003,1303784,0.3309743274700893,121859,0.030934725822051517,465,0.00011804337395887013,3939230,-13.29,-41.71
CE,Ceará,1592129,0.6599536743425661,747018,0.30964656375207983,73148,0.0303205904614576,191,7.917144389646199e-05,2412486,-5.2,-39.53
DF,Distrito Federal,436503,0.5952283874944262,275805,0.3760958467934933,20866,0.028453494096165884,163,0.0002222716159146477,733337,-15.83,-47.86
ES,Espírito Santo,644218,0.6799019752700746,246641,0.2603027283971986,56523,0.059653873918751765,134,0.00014142241397506743,947516,-19.19,-40.34
GO,Goiás,1068358,0.6497820492780896,490175,0.2981275153131137,85380,0.05192865253722374,266,0.00016178287157298568,1644179,-15.98,-49.86
MA,Maranhão,1231746,0.6370498097765935,642394,0.3322413675397566,59231,0.030633829769187326,145,7.499291446256457e-05,1933516,-5.42,-45.44
MT,Mato Grosso,548655,0.6421275863642907,275039,0.3218965091470016,30382,0.03555808354780304,357,0.0004178209409046701,854433,-12.64,-55.42
MS,Mato Grosso do Sul,434417,0.6550563576733139,206475,0.3113431597994496,21897,0.03301843404832812,386,0.0005820484789082821,663175,-20.51,-54.54
MG,Minas Gerais,3368244,0.6532419145350731,1533414,0.29739243865197545,253941,0.04924966986327326,598,0.00011597694967822215,5156197,-18.1,-44.38
PA,Pará,1409064,0.6279867010134683,776998,0.3462897432012051,57548,0.025647790781627433,170,7.576500369911488e-05,2243780,-3.79,-52.48
PB,Paraiba,645100,0.6285472092445449,328341,0.31991601182849655,52788,0.05143349880886845,106,0.00010328011809009729,1026335,-7.28,-36.72
PR,Paraná,1747173,0.6449253241563924,826386,0.30503977506995844,135006,0.04983409674546133,544,0.00020080402818786546,2709109,-24.89,-51.55
PE,Pernambuco,1547645,0.6419009437444682,745310,0.3091246328338796,117944,0.0489184308475119,135,5.599257414038956e-05,2411034,-8.38,-37.86
PI,Piauí,524888,0.5968325874176764,321658,0.3657465524142197,32910,0.03742086016810392,0,0.0,879456,-6.6,-42.28
RJ,Rio de Janeiro,2448383,0.6218485111242167,1317048,0.3345082603004217,170985,0.04342734272970127,850,0.00021588584566041512,3937266,-22.25,-42.66
RN,Rio Grande do Norte,568078,0.6348474452016369,279453,0.3122987038820955,47216,0.052765565595992964,79,8.828532027455617e-05,894826,-5.81,-36.59
RS,Rio Grande do Sul,1682178,0.6371070673527405,786803,0.2979932872230752,170163,0.06444743059411333,1194,0.00045221483007099847,2640338,-30.17,-53.5
RO,Rondônia,297072,0.6555131401840287,144983,0.31991659127518257,10792,0.023813411593371435,343,0.0007568569474171981,453190,-10.83,-63.34
RR,Roraima,81487,0.6114934075747229,50056,0.37562941339796935,1642,0.012321869442214034,74,0.0005553095850936898,133259,1.99,-61.33
SC,Santa Catarina,1107410,0.660068032765877,460453,0.27445147315912477,109586,0.0653183693832288,272,0.00016212469176937047,1677721,-27.45,-50.95
SP,São Paulo,7021073,0.6544279076998734,3147845,0.2934078049200611,556121,0.05183553887816881,3527,0.00032874850189671203,10728566,-22.19,-48.79
SE,Sergipe,357824,0.6042476877846469,199405,0.33672981740380054,34952,0.05902249481155255,0,0.0,592181,-10.57,-37.45
TO,Tocantins,246762,0.6226096610190874,136601,0.3446604513858226,12916,0.032588592983208646,56,0.000141294611881363,396335,-9.46,-48.26
