UF,Nome,NaoAplicavel,NaoAplicavel(%),ProprioDomicilio,ProprioDomicilio(%),NesteMunicipio,NesteMunicipio(%),OutroMunicipio,OutroMunicipio(%),PaisEstrangeiro,PaisEstrangeiro(%),MaisDeUmMunicipio,MaisDeUmMunicipio(%),Total,latitude,longitude
AC,Acre,113349,0.5278528053051188,27668,0.12884658371209298,70506,0.3283380523060875,2433,0.011330191490947022,279,0.0012992698010580433,501,0.002333097384695626,214736,-8.77,-70.55
AL,Alagoas,500751,0.5722620046215136,75181,0.0859174115866968,263184,0.30076865233281297,33179,0.03791721045257463,0,0.0,2743,0.003134721006402008,875038,-9.62,-36.82
AP,Amapá,112112,0.5455120500980454,16894,0.08220244553978504,69845,0.3398502313677214,6253,0.030425706875830225,124,0.0006033564133380694,289,0.0014062097052798552,205517,1.41,-51.77
AM,Amazonas,557981,0.5429272559736195,108599,0.10566911251723464,354008,0.34445723426551994,6421,0.006247768132976948,102,9.924814663816364e-05,616,0.0005993809640108706,1027727,-3.47,-65.1
BA,Bahia,1981743,0.503078901988181,405895,0.10303919878737693,1362797,0.34595526180376923,175696,0.044601621281727975,296,7.514160765977302e-05,12802,0.0032498745312851828,3939229,-13.29,-41.71
CE,Ceará,1244775,0.5159847390137563,227877,0.09445968498101082,825507,0.34218956353479857,106838,0.04428653977365523,0,0.0,7429,0.003079472696779093,2412426,-5.2,-39.53
DF,Distrito Federal,305908,0.4171599771447585,75697,0.10322632552900475,312820,0.4265857187468891,38025,0.051853851912762795,0,0.0,861,0.001174126666584846,733311,-15.83,-47.86
ES,Espírito Santo,383336,0.4045694215190034,87882,0.09274988496236475,371641,0.392226622030657,98760,0.10423042988192284,99,0.00010448372375769907,5798,0.006119157882294336,947516,-19.19,-40.34
GO,Goiás,639089,0.3886979459049167,182448,0.11096602012311312,645414,0.3925448506519059,170153,0.10348812385999334,145,8.818991119580046e-05,6930,0.004214869548875153,1644179,-15.98,-49.86
MA,Maranhão,1075634,0.5563101398230683,168047,0.08691269527259939,607095,0.31398515139525685,77137,0.03989469954978368,434,0.00022446166696405253,5168,0.0026728522923277036,1933515,-5.42,-45.44
MT,Mato Grosso,352836,0.4129591331551985,102234,0.11965463846939814,364169,0.4262232724608472,31359,0.03670256282412755,0,0.0,3811,0.004460393090428588,854409,-12.64,-55.42
MS,Mato Grosso do Sul,267981,0.40408791043088177,74880,0.11291137331775172,297217,0.448172805066536,18408,0.027757379273947298,1573,0.0023719229464319374,3116,0.004698608964451314,663175,-20.51,-54.54
MG,Minas Gerais,2130192,0.41313247207825304,512444,0.09938411961065871,2110304,0.40927536501715606,382008,0.07408717589478755,360,6.981891301261628e-05,20888,0.004051048486132024,5156196,-18.1,-44.38
PA,Pará,1210492,0.539487828574994,248426,0.11071762828797832,712698,0.31763274474324577,67673,0.030160265266648244,207,9.225503391598107e-05,4284,0.0019092780932176952,2243780,-3.79,-52.48
PB,Paraiba,551383,0.537235441873698,91190,0.08885021834997184,312510,0.3044915203043064,65122,0.06345107927828562,54,5.2614451046150666e-05,6075,0.00591912574269195,1026334,-7.28,-36.72
PR,Paraná,972356,0.3589209588835296,315102,0.1163120420773029,1174689,0.433607137992602,224740,0.08295716414511192,2797,0.0010324427699291538,19425,0.007170254131524423,2709109,-24.89,-51.55
PE,Pernambuco,1282544,0.5319477037652725,217913,0.09038155413818304,707663,0.29351017032526294,193673,0.08032777638141976,256,0.00010617851096251649,8985,0.0037266168788992605,2411034,-8.38,-37.86
PI,Piauí,478490,0.5440539403517948,72072,0.08194749229667193,287370,0.3267461824466452,38500,0.043775369816598256,45,5.116601666875121e-05,3013,0.003425849071621053,879490,-6.6,-42.28
RJ,Rio de Janeiro,1935451,0.4915723245521131,368953,0.09370791813405546,1268056,0.322065108123251,354827,0.0901201493625272,348,8.83862050468523e-05,9631,0.0024461136230064214,3937266,-22.25,-42.66
RN,Rio Grande do Norte,482732,0.5394708462548543,68356,0.07639035565613388,277308,0.3099019361327634,62265,0.06958343810242226,61,6.816975386248707e-05,4103,0.00458525409996368,894825,-5.81,-36.59
RS,Rio Grande do Sul,929549,0.3520566866603114,321182,0.12164422826008327,1129807,0.4279022504307212,241503,0.0914666639397441,1041,0.0003942675542799618,17257,0.006535903154860039,2640339,-30.17,-53.5
RO,Rondônia,191786,0.4231902222241836,68146,0.1503692703517943,183261,0.40437916904792903,8081,0.017831333808482515,79,0.00017431943705854705,1838,0.004055685130552019,453191,-10.83,-63.34
RR,Roraima,66345,0.49786879586966637,15283,0.1146872983235528,49749,0.37332843056326825,1508,0.011316393762475799,167,0.0012532080625553437,206,0.0015458734184814421,133258,1.99,-61.33
SC,Santa Catarina,481376,0.28692255744548706,211581,0.12611214856343814,825485,0.4920275778869073,143757,0.08568587983341688,619,0.00036895288310750116,14903,0.008882883387643118,1677721,-27.45,-50.95
SP,São Paulo,4244400,0.3956167114971376,1266006,0.11800328207889106,4129204,0.38487939581114566,1046149,0.09751060859391647,1330,0.0001239681053367244,41477,0.0038660339135724196,10728566,-22.19,-48.79
SE,Sergipe,310118,0.5236931650272302,51437,0.08686114746485414,184630,0.3117828344661629,43147,0.07286190737535357,0,0.0,2843,0.004800945666399291,592175,-10.57,-37.45
TO,Tocantins,186468,0.47049502552211203,36414,0.0918796032529023,159523,0.4025075506594369,12192,0.030762786918750614,0,0.0,1726,0.004355033646798193,396323,-9.46,-48.26
