UF,Nome,NaoAplicavel,NaoAplicavel(%),Sim,Sim(%),Nao,Nao(%),Total,latitude,longitude
AC,Acre,141519,0.6590340742396513,68118,0.31721594322357116,5100,0.023749982536777545,214737,-8.77,-70.55
AL,Alagoas,578675,0.6612907096468964,274946,0.3141992231469747,21448,0.024510067206128888,875069,-9.62,-36.82
AP,Amapá,129295,0.6291207053431103,71191,0.3463995679189556,5031,0.02447972673793409,205517,1.41,-51.77
AM,Amazonas,667196,0.6491957494548649,339641,0.3304778409052209,20890,0.0203264096399141,1027727,-3.47,-65.1
BA,Bahia,2400440,0.6093679753068431,1392165,0.3534105277961753,146624,0.03722149689698162,3939229,-13.29,-41.71
CE,Ceará,1480081,0.6135088922832681,867159,0.35944637997749207,65245,0.02704472773923983,2412485,-5.2,-39.53
DF,Distrito Federal,382466,0.521541226555831,339084,0.4623843302815346,11788,0.01607444316263442,733338,-15.83,-47.86
ES,Espírito Santo,477016,0.5034384643636625,447474,0.47226009903790545,23026,0.024301436598432112,947516,-19.19,-40.34
GO,Goiás,828467,0.5038788355769049,771426,0.4691861409250453,44286,0.026935023498049788,1644179,-15.98,-49.86
MA,Maranhão,1248849,0.6458953533355813,617479,0.3193555160650339,67188,0.034749130599384746,1933516,-5.42,-45.44
MT,Mato Grosso,458882,0.5370602493115317,364548,0.4266548693695117,31003,0.03628488131895655,854433,-12.64,-55.42
MS,Mato Grosso do Sul,345977,0.5216978927130848,296525,0.44712933991781956,20673,0.03117276736909564,663175,-20.51,-54.54
MG,Minas Gerais,2663524,0.516567539991199,2327967,0.45148914985210997,164706,0.031943310156691065,5156197,-18.1,-44.38
PA,Pará,1463201,0.6521145799118362,707654,0.3153848930754767,72924,0.03250052701268708,2243779,-3.79,-52.48
PB,Paraiba,648649,0.6320051445190897,338160,0.32948306352214435,39526,0.0385117919587659,1026335,-7.28,-36.72
PR,Paraná,1306883,0.48240325509235693,1339042,0.4942739476337054,63184,0.023322797273937667,2709109,-24.89,-51.55
PE,Pernambuco,1509442,0.6260558747823548,834213,0.34599802408427255,67379,0.027946101133372654,2411034,-8.38,-37.86
PI,Piauí,553575,0.6294272817200878,288581,0.32812311680633094,37334,0.04244960147358128,879490,-6.6,-42.28
RJ,Rio de Janeiro,2314035,0.5877265055819204,1535524,0.38999762525509457,87706,0.022275869162984966,3937265,-22.25,-42.66
RN,Rio Grande do Norte,555190,0.6204453384740033,307911,0.3441019193697092,31724,0.03545274215628754,894825,-5.81,-36.59
RS,Rio Grande do Sul,1267988,0.48023699995985364,1305007,0.4942575533889979,67343,0.025505446651148452,2640338,-30.17,-53.5
RO,Rondônia,261770,0.5776164522606412,178113,0.3930205873916018,13307,0.02936296034775701,453190,-10.83,-63.34
RR,Roraima,81835,0.6141094718515961,48060,0.3606537693796995,3363,0.025236758768704317,133258,1.99,-61.33
SC,Santa Catarina,707860,0.4219175893965683,932364,0.5557324489590343,37497,0.02234996164439737,1677721,-27.45,-50.95
SP,São Paulo,5551882,0.5174859342804994,5017494,0.46767610881081406,159190,0.014837956908686585,10728566,-22.19,-48.79
SE,Sergipe,364398,0.6153240854096133,210283,0.3550848101586444,17524,0.029591104431742385,592205,-10.57,-37.45
TO,Tocantins,224608,0.566711073432643,156376,0.39455411569981025,15352,0.03873481086754673,396336,-9.46,-48.26
