Ano,Municipio,editMun,ID,ValorAbsoluto
2010,Alta Floresta D Oeste,altaflorestadoeste,1,1386.9452978989439
2010,Ariquemes,ariquemes,2,6940.73744561011
2010,Cabixi,cabixi,3,232.88120848919158
2010,Cacoal,cacoal,4,6577.7926159482895
2010,Cerejeiras,cerejeiras,5,1175.446129422676
2010,Colorado do Oeste,coloradodooeste,6,1468.522534616703
2010,Corumbiara,corumbiara,7,235.3352814820778
2010,Costa Marques,costamarques,8,427.2283866531693
2010,Espigão D Oeste,espigaodoeste,9,1816.693367146851
2010,Guajará-Mirim,guajara-mirim,10,2324.2675365170608
2010,Jaru,jaru,11,3171.5790685764514
2010,Ji-Paraná,ji-parana,12,10704.41406324357
2010,Machadinho D Oeste,machadinhodoeste,13,1186.9874162989681
2010,Nova Brasilândia D Oeste,novabrasilandiadoeste,14,787.945368869253
2010,Ouro Preto do Oeste,ouropretodooeste,15,2688.812652789997
2010,Pimenta Bueno,pimentabueno,16,2955.517698429388
2010,Porto Velho,portovelho,17,44863.966562966874
2010,Presidente Médici,presidentemedici,18,1102.1112738697652
2010,Rio Crespo,riocrespo,19,37.25300993558089
2010,Rolim de Moura,rolimdemoura,20,4421.96708459458
2010,Santa Luzia D Oeste,santaluziadoeste,21,360.0947980388727
2010,Vilhena,vilhena,22,7715.59309833131
2010,São Miguel do Guaporé,saomigueldoguapore,23,682.550636602655
2010,Nova Mamoré,novamamore,24,513.401798375306
2010,Alvorada D Oeste,alvoradadoeste,25,748.222685685455
2010,Alto Alegre dos Parecis,altoalegredosparecis,26,381.032919232143
2010,Alto Paraíso,altoparaiso,27,454.41311608300146
2010,Buritis,buritis,28,1260.1882261079309
2010,Novo Horizonte do Oeste,novohorizontedooeste,29,266.71100156267454
2010,Cacaulândia,cacaulandia,30,210.3901257849044
2010,Campo Novo de Rondônia,camponovoderondonia,31,232.0340867923479
2010,Candeias do Jamari,candeiasdojamari,32,727.150757751986
2010,Castanheiras,castanheiras,33,62.8238078862573
2010,Chupinguaia,chupinguaia,34,494.208322610952
2010,Cujubim,cujubim,35,465.06517365050297
2010,Governador Jorge Teixeira,governadorjorgeteixeira,36,99.50140326031712
2010,Itapuã do Oeste,itapuadooeste,37,261.2492975171843
2010,Ministro Andreazza,ministroandreazza,38,350.519430037025
2010,Mirante da Serra,mirantedaserra,39,432.146105854835
2010,Monte Negro,montenegro,40,576.415711826096
2010,Nova União,novauniao,41,120.4601055448287
2010,Parecis,parecis,42,131.95686936540721
2010,Pimenteiras do Oeste,pimenteirasdooeste,43,43.84422872367119
2010,Primavera de Rondônia,primaveraderondonia,44,124.67921787394388
2010,São Felipe D Oeste,saofelipedoeste,45,179.1361094203004
2010,São Francisco do Guaporé,saofranciscodoguapore,46,551.4926593614609
2010,Seringueiras,seringueiras,47,359.7040610116168
2010,Teixeirópolis,teixeiropolis,48,170.91762102882112
2010,Theobroma,theobroma,49,110.53119436086659
2010,Urupá,urupa,50,285.0589521596834
2010,Vale do Anari,valedoanari,51,282.86795682078326
2010,Vale do Paraíso,valedoparaiso,52,143.4180677512686
2010,Oliveira de Fátima,oliveiradefatima,399,14.302318041521799
2010,Abreulândia,abreulandia,312,39.158994216234596
2010,Aguiarnópolis,aguiarnopolis,313,134.2130153466882
2010,Aliança do Tocantins,aliancadotocantins,314,87.2629130726873
2010,Almas,almas,315,88.5275388898933
2010,Alvorada,alvorada,316,360.9481031392291
2010,Ananás,ananas,317,145.79278315778248
2010,Angico,angico,318,36.83929054831731
2010,Aparecida do Rio Negro,aparecidadorionegro,319,61.76154503069179
2010,Aragominas,aragominas,320,46.62905758220789
2010,Araguacema,araguacema,321,82.0460188499257
2010,Araguaçu,araguacu,322,213.781596495953
2010,Araguaína,araguaina,323,11762.575837831819
2010,Araguanã,araguana,324,81.5954483826574
2010,Araguatins,araguatins,325,726.359671900673
2010,Arapoema,arapoema,326,152.9388167999516
2010,Arraias,arraias,327,338.5120239418968
2010,Augustinópolis,augustinopolis,328,708.300771277551
2010,Aurora do Tocantins,auroradotocantins,329,42.04001679469328
2010,Axixá do Tocantins,axixadotocantins,330,136.00686665058748
2010,Babaçulândia,babaculandia,331,149.1136607626212
2010,Bandeirantes do Tocantins,bandeirantesdotocantins,332,63.44593650252287
2010,Barra do Ouro,barradoouro,333,23.22856700291464
2010,Barrolândia,barrolandia,334,29.825995036591518
2010,Bernardo Sayão,bernardosayao,335,45.20509623211392
2010,Bom Jesus do Tocantins,bomjesusdotocantins,336,41.2207449727202
2010,Brasilândia do Tocantins,brasilandiadotocantins,337,42.2114114611653
2010,Brejinho de Nazaré,brejinhodenazare,338,58.4607165838723
2010,Buriti do Tocantins,buritidotocantins,339,138.78128661128932
2010,Cachoeirinha,cachoeirinha,340,11.50622057647204
2010,Campos Lindos,camposlindos,341,59.27901364047129
2010,Cariri do Tocantins,cariridotocantins,342,119.4394746026068
2010,Carmolândia,carmolandia,343,46.70839780028601
2010,Carrasco Bonito,carrascobonito,344,32.72235335622529
2010,Caseara,caseara,345,57.7167483138667
2010,Centenário,centenario,346,31.604892381687286
2010,Chapada de Areia,chapadadeareia,347,33.159409985716
2010,Chapada da Natividade,chapadadanatividade,348,26.458854341538252
2010,Colinas do Tocantins,colinasdotocantins,349,1731.7289544587911
2010,Combinado,combinado,350,152.7289751782927
2010,Conceição do Tocantins,conceicaodotocantins,351,69.3832269825566
2010,Couto Magalhães,coutomagalhaes,352,72.3345410194772
2010,Cristalândia,cristalandia,353,120.8017075480214
2010,Crixás do Tocantins,crixasdotocantins,354,27.684498493317506
2010,Darcinópolis,darcinopolis,355,70.3283682769584
2010,Dianópolis,dianopolis,356,843.0115261560959
2010,Divinópolis do Tocantins,divinopolisdotocantins,357,85.96962614315647
2010,Dois Irmãos do Tocantins,doisirmaosdotocantins,358,34.036972760486194
2010,Dueré,duere,359,62.597771891899654
2010,Esperantina,esperantina,360,30.416499627575853
2010,Fátima,fatima,361,106.78613912834089
2010,Figueirópolis,figueiropolis,362,241.96490391725118
2010,Filadélfia,filadelfia,363,106.2058034448087
2010,Formoso do Araguaia,formosodoaraguaia,364,452.69761809929093
2010,Fortaleza do Tabocão,fortalezadotabocao,365,65.95798504245587
2010,Goianorte,goianorte,366,46.5351034059233
2010,Goiatins,goiatins,367,153.8428867326403
2010,Guaraí,guarai,368,918.6457038440301
2010,Gurupi,gurupi,369,6506.560898950671
2010,Ipueiras,ipueiras,370,1372.1625522972984
2010,Itacajá,itacaja,371,131.62719775112538
2010,Itaguatins,itaguatins,372,75.7197755374151
2010,Itapiratins,itapiratins,373,42.034124112173714
2010,Itaporã do Tocantins,itaporadotocantins,374,19.49848379485437
2010,Jaú do Tocantins,jaudotocantins,375,84.5768473402981
2010,Juarina,juarina,376,62.02409121206863
2010,Lagoa da Confusão,lagoadaconfusao,377,218.0675547054738
2010,Lagoa do Tocantins,lagoadotocantins,378,21.6603067888271
2010,Lajeado,lajeado,379,61.6836290874017
2010,Lavandeira,lavandeira,380,37.72021994668352
2010,Lizarda,lizarda,381,23.27822320758741
2010,Luzinópolis,luzinopolis,382,13.74093638602852
2010,Marianópolis do Tocantins,marianopolisdotocantins,383,39.379517041082
2010,Mateiros,mateiros,384,24.228800208782
2010,Maurilândia do Tocantins,maurilandiadotocantins,385,15.448725538990981
2010,Miracema do Tocantins,miracemadotocantins,386,901.782001963713
2010,Miranorte,miranorte,387,309.944118914101
2010,Monte do Carmo,montedocarmo,388,80.7628349924219
2010,Monte Santo do Tocantins,montesantodotocantins,389,14.37175089277334
2010,Palmeiras do Tocantins,palmeirasdotocantins,390,70.100803530745
2010,Muricilândia,muricilandia,391,14.39191144044501
2010,Natividade,natividade,392,176.7595486409005
2010,Nazaré,nazare,393,28.82785072740504
2010,Nova Olinda,novaolinda,394,295.8557935621302
2010,Nova Rosalândia,novarosalandia,395,54.00221193427569
2010,Novo Acordo,novoacordo,396,43.803169444208
2010,Novo Alegre,novoalegre,397,102.4232918268041
2010,Novo Jardim,novojardim,398,64.77461155556179
2010,Palmeirante,palmeirante,400,51.296253784672196
2010,Palmeirópolis,palmeiropolis,401,224.58612380713157
2010,Paraíso do Tocantins,paraisodotocantins,402,2619.567386538275
2010,Paranã,parana,403,144.4464338726896
2010,Pau D Arco,paudarco,404,50.7281304388067
2010,Pedro Afonso,pedroafonso,405,518.904830852298
2010,Peixe,peixe,406,224.3813391041084
2010,Pequizeiro,pequizeiro,407,52.361825795215694
2010,Colméia,colmeia,408,200.84907514232577
2010,Pindorama do Tocantins,pindoramadotocantins,409,55.19703824859911
2010,Piraquê,piraque,410,12.544700768995181
2010,Pium,pium,411,108.5730837292188
2010,Ponte Alta do Bom Jesus,pontealtadobomjesus,412,64.1546785692525
2010,Ponte Alta do Tocantins,pontealtadotocantins,413,117.7420884555766
2010,Porto Alegre do Tocantins,portoalegredotocantins,414,27.1656597960435
2010,Porto Nacional,portonacional,415,2928.0397411774343
2010,Praia Norte,praianorte,416,68.9639265097634
2010,Presidente Kennedy,presidentekennedy,417,110.322457339347
2010,Pugmil,pugmil,418,13.69884588253203
2010,Recursolândia,recursolandia,419,13.501889579681231
2010,Riachinho,riachinho,420,25.78493090688501
2010,Rio da Conceição,riodaconceicao,421,25.857485888888828
2010,Rio dos Bois,riodosbois,422,42.80827817130292
2010,Rio Sono,riosono,423,87.1179722496193
2010,Sampaio,sampaio,424,53.0218333750314
2010,Sandolândia,sandolandia,425,79.56911810224139
2010,Santa Fé do Araguaia,santafedoaraguaia,426,180.8462581861021
2010,Santa Maria do Tocantins,santamariadotocantins,427,123.58658578730208
2010,Santa Rita do Tocantins,santaritadotocantins,428,51.7409765012254
2010,Santa Rosa do Tocantins,santarosadotocantins,429,41.869536884074904
2010,Santa Tereza do Tocantins,santaterezadotocantins,430,27.41042592839912
2010,Santa Terezinha do Tocantins,santaterezinhadotocantins,431,38.9455151251254
2010,São Bento do Tocantins,saobentodotocantins,432,21.71221696891711
2010,São Félix do Tocantins,saofelixdotocantins,433,15.268923011977378
2010,São Miguel do Tocantins,saomigueldotocantins,434,130.1283439423084
2010,São Salvador do Tocantins,saosalvadordotocantins,435,34.220232618321766
2010,São Sebastião do Tocantins,saosebastiaodotocantins,436,28.87281105786805
2010,Silvanópolis,silvanopolis,438,117.14675853645281
2010,Sítio Novo do Tocantins,sitionovodotocantins,439,176.00914752063792
2010,Sucupira,sucupira,440,35.49838824624498
